title,genres,director,main_actor,release_date,promotion_budget,runtime,production_budget,promotion_timeseries,competition_environment,pre_sales_data,point_screen_data,wom_scoring,first_week_box_office,total_box_office
电影_0001,['战争'],李安,成龙,2024-01-18,7083.15325359086,90,19122.1783887721,"{'daily_spend': [714.7896982156584, 457.62460943877164, 562.5306276728801, 473.05114581070796, 748.6614590148519, 660.2115475079124, 552.3625414727281, 453.7568365463519, 545.0168231459946, 550.2547275034536, 699.4222646434664, 665.4709715766251], 'spend_pattern': 'random', 'total_spend': 7083.153252549402}","{'same_period_movies': 3, 'average_competitor_budget': 4774.422763416882, 'genre_overlap_ratio': 0.5085706911647028, 'competitor_ratings': [8.6, 6.0, 6.6]}","{'total_amount': 9547.618206426314, 'daily_sales': [377.5860944948885, 310.37676139326476, 560.6850924355865, 858.6314956276149, 488.82988355514874, 1078.1714485685957, 1056.5319435484403, 1048.14240848601, 1068.7579611294032, 665.4923314007247, 824.5783608803965, 1209.83442490624], 'presale_days': 12, 'wish_count': 16823}",,"{'douban_score': 6.2, 'maoyan_score': 6.4, 'taopiaopiao_score': 6.2, 'imdb_score': 6.1, 'rotten_tomatoes': 60.0, 'metacritic': 60.0}",31802.94,114142.27
电影_0002,['家庭'],吴京,吴京,2022-11-25,1030.28093740064,112,3328.9251303423066,"{'daily_spend': [13.885239892676838, 37.51624896096989, 16.130323787004343, 19.680778582298352, 17.433394937532977, 16.254426243371274, 11.828592252480455, 16.67508649112723, 20.18523215065114, 36.690520174671974, 47.31077801894972, 19.13062741688147, 53.55634686411428, 17.44262261206847, 17.493802063421285, 14.28365410029646, 13.666887672233466, 55.48226580493345, 18.50112897742809, 19.034220350673237, 19.46631923115027, 15.704864063371542, 15.612899345485728, 55.17155891946616, 17.002254142921313, 52.46688422811565, 18.367098090556365, 19.248855670532638, 42.247404770012025, 14.434260887250481, 11.798693704109736, 16.33134943972579, 11.255487422193793, 15.276732120724397, 15.997828725452491, 13.600899595446394, 16.448836907769156, 11.204554297534056, 11.268645696285892, 18.61799917097409, 14.290200786245283, 12.108283503163653, 15.80688767381582, 18.12563836107153, 12.9390131151021, 16.74886759180663, 35.15364513891625, 11.40279644839981], 'spend_pattern': 'random', 'total_spend': 1030.2809364013835}","{'same_period_movies': 5, 'average_competitor_budget': 1397.6393578582984, 'genre_overlap_ratio': 0.2708322512620742, 'competitor_ratings': [6.8, 5.3, 5.1, 8.9, 8.3]}","{'total_amount': 4949.355987028166, 'daily_sales': [69.06065442832183, 64.70955913232385, 51.363438624070206, 78.3750942051632, 60.224194171595386, 53.407564477822646, 67.65899619241547, 58.55142976257463, 50.37342475335808, 56.96688783050248, 67.71567052499331, 83.3025288036172, 88.90634944395228, 93.1265310137184, 46.59482191271859, 78.2090035127156, 73.63012884599165, 112.02087361458135, 81.21754455837063, 86.84366671897025, 117.77824513821537, 102.42218484885615, 139.528917128297, 77.56789802431692, 85.28135779418182, 79.16362380589554, 77.93652600820835, 119.04471228920578, 81.82832276487483, 175.97002104756154, 86.4766909189861, 129.92706057461317, 161.950613768501, 104.8195919351655, 87.80000696404437, 114.00976191427618, 157.99175840313748, 145.24870327344271, 141.54853944668196, 166.5238133064584, 133.24981777452575, 130.46475248725434, 174.9619242586139, 102.99837292735202, 179.03654167372028, 174.34634076255165, 110.89854226169699, 168.3229829997535], 'presale_days': 48, 'wish_count': 1805}",,,3654.0,19282.06
电影_0003,['科幻'],王家卫,梁朝伟,2022-10-09,1543.0661439097414,127,5733.235605340117,"{'daily_spend': [16.871558511052637, 57.47241216729248, 14.179497412904064, 51.317640315469696, 18.660363615606094, 20.925984035489158, 51.00521860086117, 15.372403942312541, 44.09546011549731, 24.9203075577162, 18.72460792190345, 20.670308724905194, 24.667754212591564, 14.775925628005268, 24.164959377921612, 20.32054963285103, 15.74669530746586, 18.66093595658894, 22.99345807309825, 19.478308499664056, 25.44958328478122, 18.25273853584707, 22.66203875198319, 55.33476347930229, 23.603243687208888, 61.58230111909864, 14.548428431291796, 14.232785618071299, 15.380291991361482, 41.8770255468479, 14.688537032914352, 21.977724360773454, 20.11664576991921, 67.99791117274516, 24.596668847548802, 20.717459030024568, 22.384624442237705, 22.750770130455443, 18.265884378089932, 16.648455483909114, 16.222242423231176, 16.77094738835039, 17.046373720411808, 16.248051144264167, 24.18339868677805, 68.24939864895578, 14.351930603760955, 16.974714598668786, 14.059682954545487, 19.688758291381465, 58.28735541148046, 23.629347460240098, 52.31153457982697, 23.452121811621335, 25.24484344958304, 14.84286001511836, 23.161575135656555, 20.77430041905651, 19.474475428542878], 'spend_pattern': 'random', 'total_spend': 1543.0661428750823}","{'same_period_movies': 8, 'average_competitor_budget': 1685.3937075463102, 'genre_overlap_ratio': 0.6366443216222826, 'competitor_ratings': [7.2, 5.4, 7.9, 7.2, 6.8, 8.6, 6.2, 7.1]}","{'total_amount': 12488.493230417544, 'daily_sales': [74.29736256117855, 91.49344254042126, 167.2881921433237, 73.35604592516036, 106.86580186746835, 131.17131314689337, 132.85050188171928, 116.80750157396325, 158.6939602008708, 155.47398906234514, 163.2373451205579, 170.29040121370187, 175.65896765449256, 210.4792409587692, 181.28892025691562, 169.03544724600675, 170.06394326757095, 189.36830822020067, 182.03738836721743, 140.36786085491173, 108.85709670203062, 232.2795564435033, 129.56360247068187, 149.0244135227418, 157.8891280044817, 228.27093696246698, 157.49602850474488, 195.9657079250666, 217.40955430675416, 280.5637921662204, 201.29654116306813, 235.28737733636586, 232.74799157303178, 245.9865006144129, 238.23408307500318, 203.90633238963144, 367.3206269823343, 235.1318055927318, 247.91825409396355, 199.78373286875177, 208.85453329590987, 184.2363736470629, 309.9508754451017, 385.4308542503415, 329.09613127990787, 286.77132009811123, 305.06203944267384, 236.83647688214913, 228.33769712177025, 165.53176805444832, 294.2605699270304, 302.05325577037877, 361.5725847474752, 381.78955123081187, 237.51851519494926, 227.52765108295327, 331.163122069742, 264.52249299319743, 222.9184211218526], 'presale_days': 59, 'wish_count': 3597}",,,8919.98,31333.97
电影_0004,"['战争', '家庭']",Martin Scorsese,刘德华,2022-03-07,13774.507679756947,112,13981.046280347333,"{'daily_spend': [3978.9475365259623, 2965.1766245761046, 1994.534288201914, 2028.6563749247061, 958.2520632507859, 832.033176178739, 621.6962812314636, 395.2113338528112], 'spend_pattern': 'random', 'total_spend': 13774.507678742486}","{'same_period_movies': 1, 'average_competitor_budget': 14393.903505177721, 'genre_overlap_ratio': 0.8683011070355868, 'competitor_ratings': [5.3]}","{'total_amount': 7233.888134455013, 'daily_sales': [319.2856618741582, 652.5440048714036, 652.344965724043, 602.3065146961512, 1057.5511451601133, 1854.3294405982942, 1052.2304225311668, 1043.2959789996821], 'presale_days': 8, 'wish_count': 15726}",,,30067.44,102724.47
电影_0005,"['犯罪', '惊悚', '动作']",张艺谋,刘德华,2024-09-11,12817.221291979984,93,8895.090879396914,"{'daily_spend': [461.23477929494334, 725.1979145622997, 449.38395360236177, 738.5983828465556, 447.9067384253801, 435.6298593347018, 685.159753393826, 795.5623650453862, 758.5602998111243, 640.6878931069682, 766.2019988897897, 430.87158011459843, 787.4048473894807, 609.3460065933779, 694.6945781445004, 730.7113843838083, 693.0626512954789, 625.6283980944136, 604.151394955085, 737.2265117397737], 'spend_pattern': 'random', 'total_spend': 12817.221291023854}","{'same_period_movies': 9, 'average_competitor_budget': 15533.786365662208, 'genre_overlap_ratio': 0.3366042781939206, 'competitor_ratings': [5.5, 5.3, 9.0, 6.3, 8.2, 6.0, 7.7, 8.0, 7.4]}","{'total_amount': 10798.209220016406, 'daily_sales': [346.5577230861799, 303.07498963935205, 291.44394625114376, 388.91123972433843, 356.35547344508564, 352.4042436921191, 312.36100979897765, 415.757311038239, 486.00440608055675, 718.2198611914139, 547.5924451668023, 638.5528228168089, 621.3192559488007, 785.8936166749155, 849.2000877972434, 568.2205525825451, 743.8284490405692, 751.8198017035255, 653.0285000647727, 667.6634842730169], 'presale_days': 20, 'wish_count': 7877}","{'screen_count': 147, 'total_viewers': 10680, 'average_occupancy': 0.63, 'point_screen_days': 4, 'average_score': 6.8, 'positive_review_ratio': 0.56, 'social_media_mentions': 5632, 'want_to_watch_increase': 3334, 'viewer_comments': None}",,20358.7,27641.46
电影_0006,"['科幻', '音乐', '冒险']",Disney Animation,成龙,2025-07-31,8537.217300356491,129,13225.172894188068,"{'daily_spend': [81.64808695525556, 53.279999926885786, 60.924303125077095, 60.8338302473014, 64.95138790823476, 101.1442502351246, 79.51911886804213, 82.44149098390061, 81.74020296303371, 109.38536103897268, 100.18084894629226, 130.17853340147587, 98.27533960153717, 147.14759714154908, 140.12330863133445, 106.58187195735145, 138.30893432847972, 186.6902439955701, 202.0084442580537, 165.8949815132575, 176.01780715062424, 234.1942834846545, 207.07306546743058, 148.89478107138342, 271.350437979464, 194.1008665126662, 251.5587361350651, 201.97433874375037, 191.3492469422455, 247.6727697639344, 342.98855774600844, 267.4457604846386, 269.9662244872092, 282.28988190350134, 361.84379274896577, 484.5211248907176, 386.5399326952775, 430.93398816367954, 532.7371640090887, 470.1130042150349, 392.39339872156245], 'spend_pattern': 'random', 'total_spend': 8537.217299343632}","{'same_period_movies': 8, 'average_competitor_budget': 4661.339189376018, 'genre_overlap_ratio': 0.9461154621336327, 'competitor_ratings': [6.5, 6.1, 7.6, 6.6, 5.1, 5.6, 7.9, 7.6]}","{'total_amount': 17003.48734626857, 'daily_sales': [147.4104959486969, 280.08200375847537, 199.5022063947748, 228.02584243599657, 190.76907939261332, 291.8981735362072, 345.40337362472457, 376.5727883155292, 248.5054945750403, 171.2344483304269, 300.1029387709635, 326.16189647823524, 288.98453487370585, 345.9817266527223, 332.7540644967279, 281.5769049609479, 378.3346224391279, 454.03176402135915, 621.4239994508524, 384.8318508503564, 296.5382133604947, 444.9569538955321, 408.8436714077718, 579.8670064353254, 333.05564712504764, 470.5786372219247, 402.35637897015755, 463.4139190956895, 414.7791711514148, 547.0564979414172, 613.4988127731128, 304.0698030260413, 653.1045223807383, 637.7493769091437, 410.9214957468912, 572.971529938725, 673.1232012771692, 542.2334861660582, 638.7928144322648, 791.3398773789982, 610.6481203271649], 'presale_days': 41, 'wish_count': 2005}","{'screen_count': 253, 'total_viewers': 8608, 'average_occupancy': 0.44, 'point_screen_days': 3, 'average_score': 9.1, 'positive_review_ratio': 0.6, 'social_media_mentions': 2009, 'want_to_watch_increase': 1070, 'viewer_comments': None}","{'douban_score': 7.3, 'maoyan_score': 8.2, 'taopiaopiao_score': 7.9, 'imdb_score': 7.5, 'rotten_tomatoes': 76.0, 'metacritic': 76.0}",21536.57,73732.06
电影_0007,"['冒险', '科幻', '家庭']",Martin Scorsese,张译,2025-02-01,3659.728657611402,122,21539.542802586457,"{'daily_spend': [213.19432043252027, 238.36049122623754, 174.6727965461176, 248.4791703677024, 234.43518517994104, 232.5774406760651, 136.312404046487, 173.80135192644653, 149.95556885086498, 129.9683195197965, 122.9047354519135, 120.34429025853481, 134.21688373165316, 119.12642812299251, 103.31602607041503, 74.29586849721906, 70.02991254100746, 61.916770177819636, 106.39949331429095, 54.9854676020675, 56.072598451601955, 61.56590415425939, 77.2245905628064, 78.37798237699792, 67.805550208161, 60.574449486680216, 51.81645180821383, 36.21284966531247, 57.781337669356255, 49.270283662949396, 43.49562034731048, 43.660473521267136, 40.34754075006022, 36.230099403448094], 'spend_pattern': 'random', 'total_spend': 3659.728656608517}","{'same_period_movies': 2, 'average_competitor_budget': 4995.356069706192, 'genre_overlap_ratio': 0.044165437710100175, 'competitor_ratings': [7.4, 9.0]}","{'total_amount': 24347.95709684943, 'daily_sales': [328.8224256451654, 392.4949096935682, 382.4075212863436, 653.6271055216453, 328.6167147712509, 297.439983611804, 780.5605552300115, 441.7069991863517, 439.07325195531905, 678.603578084724, 411.15900523883124, 406.61652043385277, 659.6678951347486, 861.8796917098718, 749.9729752132138, 977.8329102302539, 749.393618409064, 481.33502034530716, 718.8493272468031, 439.3744011376666, 919.5559108936383, 797.4550347449815, 778.0024433607332, 1009.0591646638861, 1253.5971351365006, 787.3634468554749, 1049.5318297832005, 904.7597154237851, 1065.4974377722338, 636.9407795694015, 821.4108553081533, 1268.1031633742562, 692.2573142065954, 1184.9884556707939], 'presale_days': 34, 'wish_count': 10934}",,,78222.26,266138.1
电影_0008,"['科幻', '剧情', '犯罪']",吴京,成龙,2020-09-06,1009.3258257315115,123,1582.7697064038903,"{'daily_spend': [62.385300730121365, 59.331137470747315, 61.51028619447614, 63.31922685092713, 60.74921745594356, 83.05527169287406, 88.14901240719794, 72.55792630105242, 78.94429971324263, 63.47842785067877, 75.82089305512613, 85.21118854216121, 95.7921850518218, 59.021451248963785], 'spend_pattern': 'random', 'total_spend': 1009.3258245653343}","{'same_period_movies': 8, 'average_competitor_budget': 536.0719550252348, 'genre_overlap_ratio': 0.9823305150800816, 'competitor_ratings': [8.5, 7.4, 8.6, 9.0, 8.0, 5.3, 6.6, 8.4]}","{'total_amount': 839.0971837803806, 'daily_sales': [34.04379084939878, 43.05457059911337, 50.34096651425878, 31.214009387393297, 43.50890349055409, 39.869341524969514, 72.93217139000788, 40.50617656517312, 75.51002869530727, 65.00973938373163, 78.38077141169417, 80.12183326969989, 66.84981293901825, 117.75506776006057], 'presale_days': 14, 'wish_count': 511}",,"{'douban_score': 9.1, 'maoyan_score': 9.2, 'taopiaopiao_score': 8.9, 'imdb_score': 9.3, 'rotten_tomatoes': 80.0, 'metacritic': 81.0}",3020.25,10926.27
电影_0009,"['奇幻', '音乐']",吴宇森,张译,2023-10-21,837.081404918924,131,1162.6505482015618,"{'daily_spend': [6.043960447820024, 4.250662210125829, 4.357827664132912, 3.9258389854699076, 6.184526031447712, 5.418522099541209, 7.4390606024569434, 6.23302670976307, 8.420584267441562, 5.534727055591426, 8.645080310553018, 8.565632692448993, 8.862867996054023, 9.547879511137028, 9.495548021556285, 9.164749271272756, 6.884901776814918, 6.601257339185809, 11.924827870736847, 10.57148848247036, 12.076970281605735, 10.521667507908791, 8.505876197224781, 8.88097066089273, 13.21380435055585, 11.822652785034304, 10.50344528372149, 13.220271833634138, 10.183254250800148, 15.012649074968925, 12.790690982493002, 18.160122326584936, 14.171024820870965, 16.14796765133617, 12.174004848386678, 13.285515076626583, 17.347744466764045, 19.01195652856931, 21.168100924771096, 18.132713404016396, 24.020934002998004, 27.138492899777475, 27.047087240351697, 17.39391085623973, 24.647421545681542, 19.74542740173114, 22.699913070824902, 36.00787566901164, 22.717759618273366, 29.992726820603398, 33.35316171134874, 36.246566214482044, 34.74018244704, 24.56777399557722, 32.357797790251055], 'spend_pattern': 'random', 'total_spend': 837.0814038869787}","{'same_period_movies': 5, 'average_competitor_budget': 1224.5857708543508, 'genre_overlap_ratio': 0.6364302495436367, 'competitor_ratings': [7.8, 5.1, 8.7, 5.2, 7.2]}","{'total_amount': 3984.2724917408136, 'daily_sales': [40.25892713000486, 25.717715238734023, 40.54893195797865, 58.08060141662555, 39.294550674228084, 19.636949536370576, 33.44549402308075, 44.53479478956119, 52.18549570414367, 42.20451096851211, 33.666500800928596, 54.93854691458405, 53.22131785711544, 54.19837834010616, 56.60966466785068, 72.5278570008292, 63.96216964660559, 54.720924587415965, 58.33154929803487, 41.22680465074643, 61.74473553755653, 44.66621427357497, 83.26095735156035, 94.04587330352294, 54.69608656424765, 80.9234955884051, 56.05140555173764, 61.511959291692264, 76.31660505998177, 71.56892370536673, 40.585631408219996, 67.99731173215937, 56.10482254403186, 72.4291206660686, 87.61142738557702, 80.10662242247935, 101.14194799527549, 108.70812945759502, 81.7930703240693, 76.74549285970886, 129.7718637124044, 81.76509356674535, 99.02110987162054, 78.65722878116128, 88.56204493973765, 95.2128669268428, 82.19627306524943, 139.85215272296432, 94.35122289932454, 97.05570198093224, 101.54939271848983, 127.62449450195824, 124.35914503536767, 115.68253320526175, 131.28984958646652], 'presale_days': 55, 'wish_count': 1266}",,"{'douban_score': 6.4, 'maoyan_score': 6.7, 'taopiaopiao_score': 7.0, 'imdb_score': 6.1, 'rotten_tomatoes': 70.0, 'metacritic': 73.0}",3292.6,13468.65
电影_0010,"['动画', '悬疑']",王家卫,甄子丹,2023-07-11,13078.968401821592,111,16026.116891329606,"{'daily_spend': [868.7429261274782, 864.5947943673394, 960.2635560239099, 892.6662383876109, 1057.8653143838071, 2132.373641382055, 747.6883591480415, 759.7900690250377, 799.9552646147345, 981.3551840635727, 2061.7183009975593, 951.9547523013339], 'spend_pattern': 'random', 'total_spend': 13078.96840082248}","{'same_period_movies': 3, 'average_competitor_budget': 12602.916750080476, 'genre_overlap_ratio': 0.06913278618661944, 'competitor_ratings': [6.7, 5.4, 6.6]}","{'total_amount': 8506.000579784462, 'daily_sales': [575.5704572232492, 431.03305367529003, 722.7500457622255, 351.3131523352484, 573.298014246847, 1075.111109395812, 737.0381167134743, 526.3241534928982, 962.9693972797942, 895.069372759202, 982.5200584173467, 673.0036484830757], 'presale_days': 12, 'wish_count': 10667}",,,17440.58,74228.18
