origin,destination,route,airline,departure_date,search_date,booking_days,oil_price,oil_futures_price,oil_volatility,fuel_surcharge,is_holiday,is_promotion,discount_amount,event_impact,seasonal_effect,month,day_of_week,price
上海,深圳,上海-深圳,四川航空,2025-04-23,2025-03-10,44,105.2809106594204,76.853679408828,0.02,117.92,0.0,0,0.0,0.783562380157569,0.783562380157569,4,2,517.0
北京,成都,北京-成都,海南航空,2024-10-13,2024-10-11,2,90.6213898975066,76.28403318463435,0.02,176.55,0.5,0,0.0,1.336762274037236,1.336762274037236,10,6,3006.0
上海,广州,上海-广州,海南航空,2024-09-21,2024-08-16,36,76.37126500158679,77.2948655332278,0.02,80.0,0.5,0,0.0,1.4486918365981836,1.4486918365981836,9,5,1532.0
北京,成都,北京-成都,海南航空,2024-07-16,2024-07-08,8,74.343994834473,79.204322923374,0.02,150.0,0.0,1,0.19614616392441708,0.9703725755677473,1.2071505191853154,7,1,1540.0
上海,深圳,上海-深圳,中国国航,2024-04-09,2024-03-27,13,68.57568594980157,78.22479383501978,0.02,80.0,0.0,0,0.0,0.752600214400743,0.752600214400743,4,1,769.0
北京,上海,北京-上海,中国国航,2024-03-17,2024-01-21,56,64.84337344083798,78.84423043946667,0.025,50.0,0.5,0,0.0,1.4842677631504082,1.4842677631504082,3,6,940.0
北京,成都,北京-成都,东方航空,2024-02-25,2024-02-13,12,65.69602196032216,80.98544781738357,0.02,150.0,0.5,0,0.0,1.4483868022256527,1.4483868022256527,2,6,3143.0
北京,成都,北京-成都,海南航空,2025-02-22,2025-02-11,11,104.70781247788514,75.97605718235063,0.02,211.77,0.5,0,0.0,1.5322388441316666,1.5322388441316666,2,5,3935.0
北京,广州,北京-广州,中国国航,2024-04-15,2024-01-31,75,65.75327737728786,76.74525686686495,0.03,150.0,0.0,0,0.0,1.419598797898487,1.419598797898487,4,0,1472.0
上海,广州,上海-广州,东方航空,2024-06-20,2024-06-18,2,72.62845466143959,75.61400699466543,0.02,80.0,0.0,1,0.16409507872357385,0.8359049212764261,1.0,6,3,1169.0
北京,广州,北京-广州,中国国航,2025-01-22,2024-12-23,30,97.68179491313755,81.01594353082919,0.02,194.2,0.0,0,0.0,0.7652083891810642,0.7652083891810642,1,2,1081.0
上海,深圳,上海-深圳,南方航空,2024-01-09,2024-01-07,2,68.73354472888069,80.91936813030291,0.02,80.0,0.0,0,0.0,1.5367703266039854,1.5367703266039854,1,1,2371.0
北京,广州,北京-广州,深圳航空,2024-02-09,2024-01-06,34,69.18562080174384,81.75218251662596,0.02,150.0,0.0,0,0.0,1.3595733354015342,1.3595733354015342,2,4,1806.0
北京,成都,北京-成都,南方航空,2025-02-14,2024-11-17,89,99.9383391125847,79.29915122804908,0.03,199.85,0.0,0,0.0,0.7959804321870967,0.7959804321870967,2,4,827.0
北京,成都,北京-成都,南方航空,2024-03-29,2024-02-13,45,65.69602196032216,74.5461284652441,0.02,150.0,0.0,0,0.0,1.3848228987771145,1.3848228987771145,3,4,1428.0
北京,上海,北京-上海,深圳航空,2024-04-16,2024-03-09,38,71.20192627335055,76.61516547289449,0.02,50.0,0.0,0,0.0,0.7299511002649122,0.7299511002649122,4,1,335.0
北京,成都,北京-成都,东方航空,2025-02-06,2024-12-01,67,100.63503532787124,80.47279490263878,0.025,201.59,0.0,0,0.0,0.7729984812524168,0.7729984812524168,2,3,669.0
上海,广州,上海-广州,南方航空,2025-02-06,2024-11-15,83,99.02112063664477,81.75314463143455,0.03,108.53,0.0,0,0.0,0.7635445608907149,0.7635445608907149,2,3,656.0
深圳,成都,深圳-成都,海南航空,2024-07-03,2024-04-15,79,69.71258340896965,85.80503965939322,0.03,80.0,0.0,0,0.0,1.381839184480007,1.381839184480007,7,2,1629.0
北京,成都,北京-成都,深圳航空,2025-06-19,2025-06-06,13,93.48795892015342,79.78357864596872,0.02,183.72,0.0,0,0.0,1.0,1.0,6,3,1326.0
深圳,成都,深圳-成都,东方航空,2024-12-04,2024-10-20,45,91.61820831978397,76.96548159189187,0.025,97.43,0.0,0,0.0,1.3552184142698618,1.3552184142698618,12,2,1039.0
上海,广州,上海-广州,南方航空,2024-04-06,2024-02-17,49,66.3929607448983,78.54228780083986,0.025,80.0,0.5,0,0.0,1.5086059331021076,1.5086059331021076,4,5,1324.0
深圳,成都,深圳-成都,深圳航空,2024-05-07,2024-02-16,81,66.18687109504283,79.86759025115846,0.03,80.0,0.0,0,0.0,1.4633954769872057,1.4633954769872057,5,1,1412.0
深圳,成都,深圳-成都,四川航空,2024-01-27,2024-01-19,8,64.89263991188741,77.07768817500326,0.02,80.0,0.5,1,0.2003549128731152,1.144136408667295,1.4308052748478246,1,5,2193.0
深圳,成都,深圳-成都,四川航空,2024-03-14,2024-02-24,19,71.37386391180688,75.42785010636614,0.02,80.0,0.0,0,0.0,1.5421210746461365,1.5421210746461365,3,3,1632.0
北京,成都,北京-成都,中国国航,2025-06-30,2025-05-12,49,103.3619407316145,77.52498078443129,0.02,208.4,0.0,1,0.18021850405954618,1.1028651175314366,1.345315944544746,6,0,1218.0
