feature,importance
avg_response_hours,0.2672697667778403
age,0.15831111640331647
avg_completion_rate,0.08540058843959132
avg_task_hours,0.07441232919963615
salary,0.0728571705648063
late_rate_raw,0.05430521394753028
compensation_score,0.03317624832854536
avg_external_emails,0.03307689093923649
career_growth_score,0.03249022463542539
leadership_score,0.02919031090367325
late_rate_adjusted,0.0248076429976659
avg_overtime_hours,0.02339213899609412
tenure_years,0.022368938699859852
avg_total_emails,0.021908022032300644
avg_ontime_rate,0.01849558836899714
avg_internal_emails,0.0171946206275189
dept_encoded,0.009722837677689168
commute_distance_norm,0.006601926312906771
level_encoded,0.003739901101277763
absent_rate,0.0035858233732022657
work_life_balance_score,0.002607093900133884
avg_work_hours,0.0022763644420723877
role_encoded,0.001659511835029214
overall_satisfaction,0.0010406449086536678
satisfaction_score,0.00010908458699689264
