employee_id,department,role,level,age,tenure_years,salary,commute_distance,hire_date,risk_score,is_attrited,attrition_date,avg_overtime_hours,avg_work_hours,late_rate_raw,absent_rate,commute_distance_norm,late_rate_adjusted,avg_internal_emails,avg_external_emails,avg_total_emails,avg_response_hours,avg_completion_rate,avg_ontime_rate,avg_task_hours,satisfaction_score,work_life_balance_score,leadership_score,career_growth_score,compensation_score,overall_satisfaction,dept_encoded,role_encoded,level_encoded,target
EMP0001,客服部,销售经理,M1,35,2.6,46800,3.5,2021-05-27,0.3988,False,,0.22731006160164272,8.047638603696099,0.1437371663244353,0.07597535934291581,0.01806853582554517,0.1422916834583917,5.9,4.488888888888889,10.38888888888889,4.2011111111111115,0.5485576923076924,0.6463846153846154,7.595192307692307,2.75,3.375,2.75,3.0,2.25,2.825,2,8,0,0
EMP0002,财务部,中级工程师,P7,29,7.3,107500,25.3,2016-09-15,0.078,False,,0.24948665297741274,8.135728952772073,0.08829568788501027,0.014373716632443531,0.15389408099688476,0.07598416140525949,6.833333333333333,2.5,9.333333333333334,1.9211111111111112,0.6730384615384615,0.6145192307692308,5.973076923076923,4.125,3.5,4.125,3.0,3.125,3.575,5,1,5,0
EMP0003,客服部,初级工程师,P7,47,0.4,70100,2.9,2023-08-08,0.5184,True,2024-08-08,0.1753593429158111,8.008213552361397,0.13347022587268995,0.11293634496919917,0.014330218068535825,0.1323238084272071,2.2444444444444445,0.4666666666666667,2.7111111111111112,5.051111111111111,0.47152884615384616,0.5994423076923077,7.94423076923077,2.125,3.125,2.375,2.125,1.75,2.3,2,3,5,1
EMP0004,人力资源部,HR专员,P7,37,2.0,83200,2.8,2022-01-01,0.4709,True,2024-11-24,0.16591375770020533,7.989322381930185,0.13963039014373715,0.10677618069815195,0.013707165109034268,0.1385338169350144,6.722222222222222,2.488888888888889,9.21111111111111,4.706666666666667,0.4406153846153846,0.4665576923076923,7.5942307692307685,2.625,2.75,2.25,2.125,1.875,2.325,1,0,5,1
EMP0005,客服部,中级工程师,P5,22,6.8,39400,3.6,2017-03-16,0.4553,True,2024-03-11,0.15051334702258726,8.032648870636551,0.10677618069815195,0.12525667351129363,0.018691588785046728,0.10528085359534821,6.488888888888889,1.2,7.688888888888889,4.774444444444445,0.5201442307692308,0.6226538461538461,7.684615384615385,2.5,2.375,2.875,2.0,1.5,2.25,2,1,3,1
EMP0006,财务部,中级工程师,M1,32,2.5,62200,10.3,2021-07-03,0.275,False,,0.19034907597535936,8.059342915811088,0.10061601642710473,0.08008213552361396,0.06043613707165109,0.09578112546137264,6.688888888888889,1.5888888888888888,8.277777777777779,3.0722222222222224,0.5761826923076924,0.5198269230769231,6.7221153846153845,3.5,2.75,3.0,2.875,2.875,3.0,5,1,0,0
EMP0007,工程部,财务分析师,P4,35,3.6,85400,3.8,2020-05-27,0.4622,False,,0.16960985626283367,7.997946611909651,0.14168377823408623,0.06570841889117043,0.01993769470404984,0.14008876265776224,3.6222222222222222,1.6333333333333333,5.2555555555555555,4.377777777777778,0.4861057692307692,0.5384230769230769,7.649038461538462,2.625,2.625,2.0,2.375,2.125,2.35,3,6,2,0
EMP0008,客服部,财务分析师,M1,38,3.6,83600,9.4,2020-05-27,0.2436,False,,0.18521560574948667,8.04599589322382,0.11088295687885011,0.08418891170431211,0.05482866043613707,0.10649666404395915,10.755555555555556,1.4111111111111112,12.166666666666666,3.067777777777778,0.660298076923077,0.7325961538461538,6.986538461538462,3.125,2.875,2.625,3.125,3.0,2.95,2,6,0,0
EMP0009,销售部,HR专员,M2,52,1.7,41400,7.9,2022-04-21,0.2672,False,,0.16386036960985625,8.034086242299795,0.1026694045174538,0.07186858316221766,0.04548286604361371,0.0990307752339647,7.3,1.4444444444444444,8.744444444444444,2.8555555555555556,0.629221153846154,0.7000096153846154,6.996153846153846,3.5,3.0,3.0,2.375,2.25,2.825,6,0,1,0
EMP0010,财务部,销售经理,M1,32,0.5,43300,4.9,2023-07-03,0.457,True,2024-07-29,0.162217659137577,7.986447638603696,0.1437371663244353,0.09034907597535935,0.02679127725856698,0.14159386414374994,7.177777777777778,0.5888888888888889,7.766666666666667,4.544444444444444,0.44652884615384614,0.38434615384615384,7.581730769230769,2.5,2.625,2.875,2.375,2.125,2.5,5,8,0,1
EMP0011,产品部,客服代表,P7,36,1.1,54100,2.5,2022-11-26,0.2556,False,,0.18542094455852157,8.095482546201232,0.08008213552361396,0.061601642710472276,0.011838006230529595,0.07913509502517159,8.477777777777778,3.988888888888889,12.466666666666667,3.368888888888889,0.6306826923076922,0.6914615384615386,6.863461538461538,3.125,2.875,3.375,2.125,2.875,2.875,0,4,5,0
EMP0012,销售部,财务分析师,P6,49,1.3,127300,8.5,2022-09-14,0.3919,False,,0.19158110882956877,8.054004106776182,0.10882956878850103,0.07802874743326489,0.049221183800623056,0.10489187408445119,1.3888888888888888,1.788888888888889,3.1777777777777776,3.6555555555555554,0.5525961538461538,0.626875,7.408653846153846,2.75,3.125,2.875,2.625,2.125,2.7,6,6,4,0
EMP0013,销售部,初级工程师,P4,29,1.4,57900,23.3,2022-08-09,0.4026,False,,0.14250513347022586,7.96694045174538,0.13963039014373715,0.08213552361396304,0.1414330218068536,0.12831574839918886,1.6444444444444444,0.7444444444444445,2.388888888888889,4.165555555555556,0.5547403846153846,0.6119134615384616,7.382692307692308,2.75,3.0,2.625,2.125,2.75,2.65,6,3,2,0
