employee_id,department,role,level,age,tenure_years,commute_distance,late_rate_raw,late_rate_adjusted,risk_score,risk_level
EMP0003,客服部,初级工程师,P7,47,0.4,2.9,0.13347022587268995,0.1323238084272071,0.999998916725179,高风险
EMP0130,人力资源部,销售代表,P5,31,2.2,2.0,0.15605749486652978,0.15535967555188804,0.9999987389823478,高风险
EMP0142,人力资源部,高级工程师,P4,28,1.0,10.4,0.1704312114989733,0.1655464762964811,0.9999985532230573,高风险
EMP0090,客服部,HR专员,P4,44,3.6,0.9,0.15195071868583163,0.15180118597555126,0.9999984923435923,高风险
EMP0032,财务部,客服代表,P5,28,0.4,14.6,0.13963039014373715,0.1326521969973197,0.9999980289516223,高风险
EMP0143,人力资源部,高级工程师,P5,32,1.3,2.9,0.13552361396303902,0.13437719651755617,0.9999978877527906,高风险
EMP0010,财务部,销售经理,M1,32,0.5,4.9,0.1437371663244353,0.14159386414374994,0.9999978643639628,高风险
EMP0080,客服部,高级工程师,P5,44,1.0,8.5,0.1540041067761807,0.15006641207213087,0.9999978384114583,高风险
EMP0156,财务部,财务分析师,P4,36,4.4,1.1,0.11704312114989733,0.11679389996609671,0.9999974387660736,高风险
EMP0004,人力资源部,HR专员,P7,37,2.0,2.8,0.13963039014373715,0.1385338169350144,0.9999964400622743,高风险
EMP0115,市场部,市场专员,P4,32,4.9,5.9,0.1437371663244353,0.1410954217761487,0.9999950293979328,高风险
EMP0075,市场部,销售经理,P4,48,1.3,6.4,0.16632443531827515,0.16343346958618793,0.9999948641009031,高风险
EMP0155,市场部,市场专员,P4,35,2.7,4.0,0.13141683778234087,0.12972213373249664,0.9999946689958745,高风险
EMP0122,销售部,中级工程师,P4,36,0.4,6.7,0.15605749486652978,0.1530169964241622,0.9999944618498278,高风险
EMP0116,销售部,高级工程师,P6,22,3.5,17.5,0.1806981519507187,0.17227447593825765,0.9999943591257572,高风险
EMP0102,销售部,产品经理,P5,39,7.0,5.2,0.162217659137577,0.15992482424661125,0.9999922593614715,高风险
EMP0103,工程部,市场专员,P5,33,0.5,34.1,0.13963039014373715,0.12293257082909541,0.9999922425864988,高风险
EMP0082,财务部,客服代表,M2,33,2.6,3.3,0.14168377823408623,0.14033798384156287,0.9927379428878426,高风险
EMP0152,财务部,客服代表,P5,34,1.3,10.3,0.1293634496919918,0.1245285587262597,0.9700760686405,高风险
EMP0061,客服部,初级工程师,M2,40,0.6,12.4,0.17248459958932238,0.16660297965162768,0.8770098588901599,高风险
EMP0083,销售部,市场专员,P6,24,0.8,6.2,0.15811088295687886,0.15531960569831188,0.6510873460723321,中高风险
EMP0195,人力资源部,财务分析师,P5,41,3.1,8.8,0.14168377823408623,0.13759655081975602,0.570772660134812,中高风险
EMP0105,市场部,初级工程师,P4,35,8.6,4.7,0.12525667351129363,0.12321305980412853,0.313944666138299,中低风险
EMP0033,人力资源部,产品经理,M1,32,1.7,33.0,0.15811088295687886,0.14196135024659848,0.06384418490993936,低风险
EMP0179,财务部,中级工程师,M2,29,5.0,36.9,0.1375770020533881,0.11948354410946287,0.03633731748643067,低风险
EMP0159,人力资源部,中级工程师,P6,31,0.4,3.6,0.15811088295687886,0.15661555585407513,0.012635238809310095,低风险
EMP0005,客服部,中级工程师,P5,22,6.8,3.6,0.10677618069815195,0.10528085359534821,0.006044924281837229,低风险
EMP0026,销售部,市场专员,M2,32,2.2,4.9,0.12525667351129363,0.12311337133060828,0.0005997179382915185,低风险
EMP0057,产品部,财务分析师,P4,29,0.5,12.8,0.14989733059548255,0.14381633371074734,0.00039936860301984195,低风险
EMP0059,工程部,销售经理,P4,25,2.2,13.6,0.1293634496919918,0.12288369891317559,0.00016539605373586995,低风险
EMP0086,市场部,市场专员,P5,30,4.4,8.8,0.13552361396303902,0.13143638654870882,9.613487964312448e-05,低风险
EMP0101,产品部,高级工程师,P4,32,2.8,2.5,0.10882956878850103,0.10788252829005866,4.3541406470811506e-05,低风险
EMP0121,财务部,销售代表,P7,29,1.9,10.4,0.13347022587268995,0.12858549067019773,4.2970782224119594e-05,低风险
EMP0034,客服部,销售代表,P7,28,1.7,14.2,0.13141683778234087,0.12463802158296391,4.162480893584294e-05,低风险
EMP0064,产品部,高级工程师,P4,33,1.5,15.1,0.15195071868583163,0.14472330435561356,3.710539604782325e-05,低风险
EMP0134,财务部,HR专员,M2,22,4.6,10.2,0.11498973305954825,0.11020468633057628,5.207613174510766e-06,低风险
EMP0013,销售部,初级工程师,P4,29,1.4,23.3,0.13963039014373715,0.12831574839918886,2.972417725913483e-06,低风险
EMP0046,销售部,财务分析师,P5,22,4.8,15.6,0.1437371663244353,0.1362605308104166,2.7242244417698227e-06,低风险
EMP0089,销售部,客服代表,P4,31,2.9,1.5,0.16837782340862423,0.16792922527778312,1.8976131719370201e-06,低风险
EMP0029,市场部,客服代表,P6,30,0.6,0.6,0.1457905544147844,0.1457905544147844,1.5172796968998093e-06,低风险
EMP0160,销售部,市场专员,P7,29,0.8,9.4,0.14989733059548255,0.14551103776059157,1.4915029521085044e-06,低风险
EMP0167,产品部,初级工程师,P5,22,1.5,4.1,0.13552361396303902,0.13377906567643466,1.4643883723230858e-06,低风险
EMP0088,工程部,HR专员,P5,36,0.4,3.1,0.14168377823408623,0.1404376723150831,1.4557856041442884e-06,低风险
EMP0093,人力资源部,客服代表,M1,24,4.2,3.8,0.16837782340862423,0.16678280783230023,1.4037653406278141e-06,低风险
EMP0173,客服部,中级工程师,P6,40,1.7,13.8,0.14989733059548255,0.1433178913431461,1.2275252615241835e-06,低风险
EMP0139,工程部,中级工程师,P7,28,2.2,9.6,0.1293634496919918,0.12487746838358058,1.176041945064626e-06,低风险
EMP0028,销售部,高级工程师,P5,27,1.0,11.7,0.1437371663244353,0.13820445604406148,1.1453416013379559e-06,低风险
EMP0007,工程部,财务分析师,P4,35,3.6,3.8,0.14168377823408623,0.14008876265776224,1.1255855447394845e-06,低风险
EMP0081,市场部,市场专员,P5,32,2.2,21.9,0.1375770020533881,0.12696017962348155,1.0858523313156066e-06,低风险
EMP0021,财务部,初级工程师,P7,32,0.8,6.2,0.13963039014373715,0.13683911288517017,1.0373150393340872e-06,低风险
EMP0199,客服部,产品经理,P4,32,1.1,6.2,0.12320328542094455,0.12041200816237757,9.491862732966382e-07,低风险
EMP0183,财务部,销售代表,P4,27,1.6,14.6,0.15605749486652978,0.14907930172011233,9.303102839489049e-07,低风险
EMP0012,销售部,财务分析师,P6,49,1.3,8.5,0.10882956878850103,0.10489187408445119,8.156290674388587e-07,低风险
EMP0098,财务部,高级工程师,P5,22,2.5,5.0,0.1437371663244353,0.14154401990698984,7.676364019141567e-07,低风险
EMP0039,客服部,高级工程师,P6,36,2.5,10.2,0.13552361396303902,0.13073856723406707,6.989217765761437e-07,低风险
EMP0092,销售部,产品经理,P7,26,0.6,2.5,0.1437371663244353,0.14279012582599293,5.787882020599327e-07,低风险
EMP0041,销售部,财务分析师,M2,27,1.8,13.8,0.15811088295687886,0.1515314437045424,4.966805199619557e-07,低风险
EMP0149,客服部,财务分析师,P4,23,1.7,14.6,0.14784394250513347,0.140865749358716,2.9090982915936773e-07,低风险
EMP0140,客服部,中级工程师,M2,24,2.3,29.4,0.162217659137577,0.1478625189506611,2.6196787016926404e-07,低风险
EMP0024,客服部,客服代表,P5,38,4.5,161.1,0.21765913757700206,0.13765913757700204,2.023865764740037e-07,低风险
EMP0053,销售部,客服代表,M2,30,0.7,3.9,0.1437371663244353,0.1420923065113512,1.9210166237587606e-07,低风险
EMP0112,客服部,产品经理,P5,39,2.7,40.1,0.11293634496919917,0.09324787144894996,1.8145577229254475e-07,低风险
EMP0067,财务部,中级工程师,P6,49,2.9,33.2,0.11909650924024641,0.10284728805644579,1.386178317323309e-07,低风险
