movie_id,opening_weekend_revenue,total_revenue,release_month,release_weekday,holiday_season,marketing_spend,num_screens
M001,27750500,91808988,5,2,0,28492954,6784
M002,32242577,96948134,6,5,1,44938199,3781
M003,4965457,17872328,7,2,1,14397317,7894
M004,29903911,102285484,3,4,0,30884426,6033
M005,18571116,71790924,2,6,1,34197492,1208
M006,47815050,129300882,1,0,0,42446665,3513
M007,30667556,93804554,4,4,0,19964200,2936
M008,8360436,22545522,2,6,1,35462005,1567
M009,12405178,34889760,6,2,1,7985198,2671
M010,57636298,198852537,7,4,0,59475976,3325
M011,8593379,25392521,9,4,1,17366123,6078
M012,5037632,20113505,8,1,1,6845000,6655
M013,7610513,30333183,4,3,1,12680837,7462
M014,30297457,95788312,5,5,1,21797115,1052
M015,20597364,55501757,9,5,0,31400973,3358
M016,28945338,81444258,2,4,0,79932392,2416
M017,58792424,209380323,2,5,0,30855253,1515
M018,26218559,70513325,10,1,0,22896341,6112
M019,27223421,71840053,7,5,0,81953456,5256
M020,35512492,101818673,5,3,0,27947020,5528
M021,24034742,76785693,1,4,0,38707245,4309
M022,33784320,110745744,2,5,1,40999340,2480
M023,65042646,250399712,8,3,1,44218249,3975
M024,15436178,51604100,5,3,0,28230559,5679
M025,16951718,66335578,6,1,0,34974566,7353
M026,39015957,147570788,12,3,1,84111283,5536
M027,59134713,169221872,2,3,0,67490261,2488
M028,13752247,49197751,2,5,1,24003146,4745
M029,2680931,9466969,4,3,0,9077031,6369
M030,11276156,38043852,3,6,0,10718884,2413
M031,20531723,56108836,10,4,0,48564312,2402
M032,12021347,47280114,12,3,1,27007840,5793
M033,26813956,70066055,5,1,0,39827653,2364
M034,12542872,37473760,6,5,0,39312495,5425
M035,25330681,71046984,9,2,1,30584086,5006
M036,27456543,98491540,8,5,1,47818765,7621
M037,34708938,107237525,4,0,1,34232299,3079
M038,13192509,44411439,8,4,0,22618294,4660
M039,55117484,187697695,10,3,0,43782569,2428
M040,75955552,240035690,3,0,1,51501999,5881
M041,92110888,295009669,9,3,0,51268604,6799
M042,24106560,92643297,6,1,0,16983235,1230
M043,35131585,130636140,2,1,1,34467066,7476
M044,27188595,97584325,1,4,0,29481648,1364
M045,22279551,64565411,9,3,1,23468755,5144
M046,32217854,122280757,8,2,0,44879547,6914
M047,34623363,123170169,6,5,1,32180004,6221
M048,19253439,63584182,1,6,0,17460103,3278
M049,39023320,154804919,4,3,0,80436729,7506
M050,3753117,12613396,2,3,0,4865059,2335
M051,84038817,330368464,12,4,0,30200417,2222
M052,31998360,110854079,3,6,1,21956138,1757
M053,32605567,96322912,8,2,0,27776843,7744
M054,22904176,64005697,1,4,1,40309935,1677
M055,19750106,55608907,10,3,0,27165250,1943
M056,74573496,202674064,1,5,0,63348520,1946
M057,7002823,19684014,2,6,1,12921338,7165
M058,13767364,48051876,1,0,0,15965051,4134
M059,17929076,55652651,3,1,0,9924055,6911
M060,15534725,39580553,3,5,1,29490132,5334
M061,18337528,66747284,4,1,0,15410804,5684
M062,84604690,235934296,7,2,0,71808062,6409
M063,31899613,88306312,11,5,1,49361387,1848
M064,31504215,85831585,5,1,0,17481320,1186
M065,14141593,52108316,11,3,0,24782092,1071
M066,6303543,21209181,6,1,0,7577939,4076
M067,24003596,64646753,10,1,1,26911986,3866
M068,38074091,136395152,2,6,0,79931165,2758
M069,9394217,33570331,10,4,1,9299978,6689
M070,21599191,72901337,1,6,0,33045053,4716
M071,11125020,29792532,5,1,1,24027532,5503
M072,63995326,191343365,6,3,1,82752926,2067
M073,13280900,37425828,1,2,0,12593628,7377
M074,27647069,75594161,3,3,0,31040104,3964
M075,37226284,127365142,8,1,1,30321577,2362
M076,34459368,117113616,1,3,0,63897114,5839
M077,39543098,100185232,4,1,0,83356595,5350
M078,7025837,24415777,2,2,1,9184512,2299
M079,18492928,69194094,11,5,0,26921658,6819
M080,62191503,236307905,1,1,0,43683146,6047
M081,30101082,91651178,7,3,1,25777295,7445
M082,13694077,40567185,2,2,1,26392580,7376
M083,23793438,95103786,6,2,1,37603282,3016
M084,31635451,91012721,2,1,1,53486754,1022
M085,17868076,47633439,9,0,0,22837241,5212
M086,34018235,91303420,4,0,1,55655256,1822
M087,22750573,72210062,5,6,0,37096393,4471
M088,50586955,165642932,9,0,0,83859460,6490
M089,18503197,56423018,2,1,0,32237084,1886
M090,21541813,85333624,12,0,1,25687676,5164
M091,19132051,49048379,8,0,0,23994306,6837
M092,37291284,106048340,2,0,1,47483796,5347
M093,13368352,52548736,8,2,0,20694475,2433
M094,8695267,23227744,4,0,0,19955125,2488
