movie_id,title,genres,actors,director,release_year,budget,runtime,is_sequel,production_company
M001,电影_M001,喜剧|动作|恐怖,演员D|演员C|演员B,导演B,2019,118000000,84,0,公司A
M002,电影_M002,科幻,演员I|演员D,导演G,2013,124000000,155,1,公司A
M003,电影_M003,动画,演员E|演员C|演员D|演员G,导演F,2011,33000000,128,0,公司C
M004,电影_M004,战争|恐怖,演员H|演员I,导演B,2024,106000000,90,1,公司E
M005,电影_M005,战争|科幻,演员A|演员D,导演E,2011,69000000,92,1,公司C
M006,电影_M006,爱情|剧情,演员F|演员D|演员E|演员J,导演B,2019,172000000,101,0,公司B
M007,电影_M007,动画|恐怖,演员F|演员A|演员D,导演A,2022,90000000,131,1,公司A
M008,电影_M008,战争,演员D|演员H|演员G|演员F,导演H,2012,77000000,97,0,公司E
M009,电影_M009,恐怖|动画|冒险,演员D|演员C|演员H|演员A,导演A,2023,38000000,99,0,公司D
M010,电影_M010,喜剧|动画|冒险,演员I|演员E|演员A|演员F|演员G,导演B,2020,147000000,176,1,公司C
M011,电影_M011,恐怖,演员C|演员H|演员A|演员F|演员G,导演E,2018,55000000,144,0,公司C
M012,电影_M012,冒险|科幻|剧情,演员C|演员I|演员A|演员E,导演F,2017,14000000,94,1,公司C
M013,电影_M013,动作,演员J|演员B|演员I,导演H,2023,27000000,177,0,公司B
M014,电影_M014,悬疑|冒险|剧情,演员I|演员G|演员D|演员E,导演D,2021,89000000,131,1,公司D
M015,电影_M015,悬疑|喜剧|科幻,演员B|演员F|演员A,导演D,2019,66000000,80,0,公司A
M016,电影_M016,喜剧,演员F|演员B,导演D,2014,181000000,142,0,公司E
M017,电影_M017,战争,演员D|演员H|演员G|演员B|演员A,导演B,2020,120000000,125,1,公司D
M018,电影_M018,动作|喜剧,演员G|演员F,导演B,2013,59000000,104,1,公司B
M019,电影_M019,剧情|恐怖,演员D|演员B|演员H|演员G|演员E,导演B,2010,176000000,149,0,公司A
M020,电影_M020,剧情,演员H|演员J|演员D|演员G|演员I,导演A,2012,107000000,80,1,公司C
M021,电影_M021,恐怖|动画,演员C|演员D|演员E|演员B|演员A,导演A,2021,90000000,87,0,公司E
M022,电影_M022,冒险|战争,演员A|演员I|演员B,导演C,2011,162000000,88,0,公司D
M023,电影_M023,战争,演员J|演员A|演员B,导演G,2020,159000000,152,1,公司C
M024,电影_M024,爱情,演员E|演员G|演员C,导演E,2017,90000000,176,0,公司A
M025,电影_M025,战争|喜剧,演员I|演员D,导演E,2012,99000000,88,0,公司C
M026,电影_M026,剧情|悬疑,演员J|演员I|演员A|演员F,导演E,2024,179000000,93,0,公司C
M027,电影_M027,喜剧,演员E|演员J|演员D,导演F,2013,185000000,161,1,公司E
M028,电影_M028,恐怖|动作,演员G|演员E,导演A,2010,95000000,178,0,公司C
M029,电影_M029,悬疑,演员I|演员A|演员B|演员J|演员F,导演C,2018,19000000,127,0,公司D
M030,电影_M030,动作,演员F|演员A|演员J|演员B,导演D,2020,36000000,125,1,公司E
M031,电影_M031,剧情|科幻|战争,演员G|演员A|演员C,导演F,2022,115000000,165,0,公司C
M032,电影_M032,喜剧,演员A|演员H|演员D|演员B|演员I,导演F,2014,68000000,108,0,公司B
M033,电影_M033,爱情|恐怖,演员E|演员F,导演G,2020,147000000,122,0,公司A
M034,电影_M034,剧情|恐怖,演员B|演员G,导演F,2021,90000000,135,0,公司D
M035,电影_M035,科幻|恐怖|动作,演员A|演员I|演员D|演员C|演员H,导演B,2020,94000000,159,1,公司A
M036,电影_M036,恐怖|冒险|战争,演员F|演员G|演员E|演员H|演员B,导演D,2016,180000000,128,0,公司E
M037,电影_M037,恐怖|动画|动作,演员E|演员D|演员G|演员H,导演F,2017,123000000,136,0,公司E
M038,电影_M038,剧情|喜剧,演员I|演员F|演员B|演员G,导演D,2020,89000000,108,0,公司B
M039,电影_M039,动作,演员H|演员B|演员J,导演G,2024,171000000,153,0,公司D
M040,电影_M040,动画|科幻,演员A|演员B|演员G,导演D,2012,188000000,146,1,公司A
M041,电影_M041,科幻|喜剧|悬疑,演员H|演员I|演员F,导演H,2019,194000000,144,1,公司E
M042,电影_M042,剧情|悬疑,演员E|演员D|演员J|演员G|演员H,导演H,2020,71000000,115,1,公司A
M043,电影_M043,恐怖|科幻|战争,演员F|演员I|演员B|演员H,导演C,2013,108000000,168,0,公司B
M044,电影_M044,动画,演员F|演员I|演员H|演员D|演员A,导演D,2023,117000000,129,0,公司E
M045,电影_M045,悬疑|动作,演员E|演员G|演员I|演员J,导演D,2017,66000000,114,1,公司D
M046,电影_M046,动画,演员G|演员C|演员H|演员B,导演A,2024,110000000,155,0,公司A
M047,电影_M047,动画|剧情|悬疑,演员A|演员E|演员G,导演F,2013,126000000,121,1,公司D
M048,电影_M048,动画|恐怖,演员H|演员A,导演A,2015,67000000,163,0,公司A
M049,电影_M049,科幻,演员A|演员C|演员D,导演C,2017,181000000,94,0,公司D
M050,电影_M050,恐怖|爱情|剧情,演员C|演员E,导演B,2019,16000000,119,1,公司D
M051,电影_M051,科幻|喜剧|战争,演员E|演员B,导演A,2015,146000000,134,1,公司A
M052,电影_M052,爱情|动作|动画,演员B|演员G|演员F|演员H|演员D,导演C,2016,55000000,173,1,公司E
M053,电影_M053,悬疑|战争|动画,演员F|演员D|演员B|演员C,导演H,2013,128000000,152,1,公司C
