user_id,movie_id,rating,rating_date
U100,M114,3.6,2026-01-31
U082,M181,3.2,2025-05-28
U083,M095,3.2,2025-07-29
U070,M190,3.5,2025-07-22
U026,M199,3.1,2026-02-16
U038,M115,2.7,2026-02-25
U088,M020,4.0,2026-02-20
U023,M189,3.3,2025-09-05
U016,M097,2.9,2026-05-06
U055,M072,3.0,2025-08-15
U034,M034,2.4,2026-03-05
U075,M066,2.8,2026-05-24
U043,M120,3.6,2025-05-28
U020,M011,1.9,2026-03-09
U042,M153,1.8,2026-04-30
U100,M161,2.9,2025-07-15
U085,M078,2.7,2025-09-17
U074,M141,3.3,2025-11-24
U010,M182,3.0,2025-12-15
U068,M057,2.7,2026-02-21
U067,M018,3.6,2025-09-10
U021,M107,3.4,2025-08-21
U069,M104,3.3,2026-04-09
U045,M057,2.2,2026-02-06
U085,M085,2.7,2025-12-08
U047,M076,3.3,2026-02-04
U097,M159,2.6,2025-08-28
U061,M144,3.8,2025-06-28
U002,M030,2.8,2025-06-18
U045,M115,2.4,2026-01-23
U083,M158,2.6,2025-07-12
U032,M011,3.8,2025-06-11
U042,M098,3.2,2026-03-29
U050,M066,2.3,2025-08-23
U093,M073,3.9,2026-05-14
U067,M198,2.4,2025-11-16
U066,M131,3.7,2025-10-10
U063,M012,2.1,2025-12-26
U084,M050,3.1,2025-12-13
U066,M022,3.4,2026-04-07
U022,M198,3.6,2025-08-24
U069,M002,3.0,2025-07-10
U009,M054,2.9,2025-06-17
U081,M199,2.9,2026-02-06
U088,M109,2.1,2026-04-03
U027,M138,2.8,2025-06-01
U095,M199,3.0,2025-10-16
U083,M019,3.5,2025-06-09
U020,M007,2.9,2025-10-03
U092,M085,2.6,2026-05-07
U012,M019,3.1,2026-04-29
U023,M065,3.0,2025-08-14
U010,M148,2.6,2026-01-30
U034,M105,3.1,2025-11-09
U058,M162,3.4,2025-10-31
U056,M081,3.7,2026-05-18
U050,M173,2.7,2026-03-27
U093,M159,3.7,2026-04-24
U097,M191,3.9,2025-07-31
U006,M180,3.1,2026-04-19
U046,M129,2.8,2026-04-02
U038,M176,2.7,2025-12-23
U078,M023,2.2,2026-01-02
U098,M113,3.2,2025-11-12
U051,M170,3.8,2026-05-11
U061,M041,3.2,2025-08-26
U029,M035,3.2,2025-11-07
U070,M076,3.2,2025-07-06
U019,M077,2.8,2025-06-14
U094,M166,3.4,2025-11-16
U002,M142,3.8,2025-08-15
U019,M032,2.8,2026-05-05
U001,M147,3.8,2025-07-25
U051,M138,1.9,2025-08-19
U011,M079,3.4,2026-02-08
U096,M190,3.2,2025-12-01
U028,M106,3.1,2025-06-30
U066,M037,3.1,2026-03-05
U024,M057,1.8,2025-07-15
U033,M050,2.6,2026-03-29
U024,M172,3.3,2025-08-09
U007,M193,3.6,2025-08-18
U060,M166,3.0,2025-08-18
U010,M075,2.8,2025-06-17
U009,M065,2.9,2026-04-06
U026,M186,3.7,2025-08-02
U063,M085,3.8,2025-11-25
U017,M172,2.5,2025-06-25
U031,M026,3.3,2026-01-01
U080,M018,3.4,2026-02-16
U041,M125,3.3,2025-10-08
U043,M158,3.3,2025-06-23
U040,M178,2.6,2025-07-31
U020,M145,2.7,2025-08-09
U047,M081,2.5,2025-10-19
U022,M002,3.2,2025-12-17
U032,M057,3.5,2025-05-27
U095,M165,3.2,2025-10-15
U036,M093,2.8,2026-03-19
U087,M188,2.6,2025-12-08
U062,M119,2.5,2025-10-10
U046,M199,2.8,2025-12-21
U063,M142,2.7,2026-04-01
U023,M166,2.7,2025-07-20
U011,M072,3.3,2026-03-16
U069,M051,4.1,2026-01-12
U094,M161,3.2,2026-04-17
U094,M020,3.3,2026-05-17
U065,M162,2.5,2026-05-11
U075,M149,2.0,2025-10-31
U099,M152,3.1,2026-02-07
U005,M142,3.3,2026-01-13
U070,M139,4.3,2025-09-27
U084,M199,2.9,2026-03-11
U047,M101,3.4,2026-02-01
U099,M151,3.5,2025-12-29
U018,M119,2.7,2025-09-12
U066,M024,3.9,2025-11-04
U047,M129,3.3,2026-05-21
U085,M062,3.0,2025-07-16
U088,M043,2.8,2025-09-05
U018,M115,4.0,2026-03-06
U023,M145,2.6,2025-08-10
U085,M038,3.7,2025-09-21
U046,M011,4.1,2026-02-03
U098,M125,2.3,2026-01-28
U009,M068,2.5,2025-11-18
U030,M011,3.1,2025-06-18
U027,M133,2.8,2025-11-23
U050,M121,2.6,2025-10-06
U006,M011,3.1,2025-06-28
U042,M027,2.3,2025-05-31
U067,M163,3.4,2026-01-06
U095,M068,2.7,2025-08-03
U070,M146,3.9,2026-02-26
U049,M168,2.9,2025-11-14
U047,M151,2.7,2025-06-26
U010,M133,3.6,2026-01-18
U049,M058,2.4,2025-09-04
U052,M091,3.0,2025-12-01
U063,M124,3.7,2025-07-21
U001,M129,2.1,2026-03-16
U057,M043,3.1,2026-01-29
U010,M132,3.3,2025-07-01
U036,M055,3.2,2026-03-11
U024,M041,2.4,2025-11-22
U078,M184,2.5,2026-03-27
U085,M059,3.5,2025-10-26
U043,M185,3.7,2026-03-29
U062,M173,3.1,2025-09-23
U062,M054,3.0,2025-07-28
U021,M166,2.9,2025-10-28
U003,M063,3.2,2026-05-04
U017,M147,3.1,2025-07-27
U021,M035,3.1,2025-07-08
U066,M011,3.9,2025-08-06
U019,M015,2.9,2026-03-02
U034,M047,2.3,2025-09-04
U052,M154,3.3,2025-08-11
U082,M005,2.8,2025-06-22
U037,M022,3.0,2026-02-05
U058,M156,3.8,2025-09-27
U062,M044,2.7,2026-02-03
U053,M154,3.7,2026-03-14
U075,M197,3.4,2026-02-22
U080,M169,3.6,2025-09-07
U034,M043,4.3,2025-06-09
U044,M117,2.9,2025-07-25
U076,M018,2.5,2026-01-29
U049,M099,3.3,2026-03-20
U014,M005,2.9,2026-02-12
U067,M130,2.9,2025-06-10
U054,M039,3.3,2025-07-20
U013,M046,3.3,2025-09-25
U079,M154,3.7,2026-05-07
U069,M129,3.2,2026-03-27
U012,M124,3.8,2025-06-23
U017,M155,3.0,2025-08-23
U001,M199,4.3,2025-06-13
U084,M111,3.4,2025-09-01
U054,M095,2.7,2026-05-04
U090,M136,2.3,2025-10-19
U030,M124,3.4,2025-11-12
U045,M151,2.7,2025-06-04
U074,M026,3.3,2025-10-21
U018,M066,3.0,2025-09-24
U099,M060,3.1,2026-04-14
U037,M154,2.2,2025-08-21
U053,M066,2.2,2026-02-19
U001,M182,3.0,2026-05-23
U074,M134,3.7,2026-03-27
U067,M002,3.3,2025-11-15
U084,M053,2.2,2025-06-08
U041,M105,3.3,2025-11-22
U014,M040,3.5,2025-10-20
U084,M150,2.6,2026-01-17
U034,M138,3.7,2025-10-22
U073,M094,3.1,2025-07-17
U036,M175,2.3,2025-11-04
U097,M053,3.3,2025-10-27
U071,M143,3.5,2025-09-21
U023,M095,4.0,2025-08-13
U072,M124,3.4,2026-01-17
U040,M148,2.3,2025-12-01
U100,M181,2.9,2025-11-04
U095,M036,3.5,2025-06-23
U016,M192,3.4,2026-01-29
U058,M180,3.0,2026-03-05
U013,M055,4.9,2025-09-08
U052,M087,3.4,2025-08-18
U079,M179,3.7,2025-06-10
U091,M014,4.0,2026-03-05
U050,M163,3.1,2026-05-24
U012,M038,2.7,2025-09-27
U077,M112,3.6,2026-04-11
U048,M021,3.0,2025-07-19
U005,M186,2.9,2025-11-11
U052,M158,3.4,2025-06-25
U067,M074,4.1,2025-05-27
U077,M015,2.0,2026-02-26
U082,M127,3.7,2025-10-14
U002,M052,2.0,2025-06-24
U005,M154,3.5,2025-09-07
U067,M179,3.2,2026-01-28
U079,M044,2.4,2025-06-15
U005,M093,2.6,2026-01-24
U084,M001,3.2,2026-03-07
U012,M071,2.6,2025-11-03
U046,M172,3.3,2025-11-05
U052,M151,3.1,2026-02-13
U067,M004,2.7,2025-05-31
U009,M024,4.4,2025-08-18
U037,M186,3.4,2025-08-13
U075,M090,2.1,2025-11-30
U036,M058,3.0,2025-07-20
U025,M117,2.4,2025-11-01
U074,M002,3.5,2026-01-13
U023,M105,2.8,2025-09-09
U014,M144,3.0,2026-04-19
U065,M076,3.3,2025-12-03
U015,M132,3.3,2026-01-15
U069,M148,2.8,2026-01-18
U089,M114,3.0,2025-11-14
U073,M124,3.0,2026-01-22
U097,M087,2.5,2025-10-04
U088,M118,4.0,2025-07-30
U004,M124,3.3,2026-03-28
U034,M018,3.0,2025-11-12
U082,M057,3.6,2025-06-14
U090,M059,4.2,2025-12-16
U053,M091,3.4,2025-09-04
U069,M003,2.5,2025-06-02
U034,M064,3.2,2025-12-30
U012,M103,3.5,2025-06-16
U096,M088,2.9,2026-04-18
U071,M046,3.3,2025-09-25
