user_id,age_group,gender,occupation,city,watch_frequency,pref_动作,pref_喜剧,pref_剧情,pref_科幻,pref_恐怖,pref_爱情,pref_动画,pref_悬疑,pref_冒险,pref_战争
U001,46-55,M,商人,武汉,中频,0.19,0.59,0.38,0.77,0.3,0.25,0.07,0.27,0.38,0.78
U002,26-35,F,商人,成都,低频,0.09,0.94,0.44,0.76,0.1,0.09,0.43,0.56,0.51,0.1
U003,18-25,F,工程师,成都,中频,0.01,0.41,0.78,0.72,0.56,0.99,0.24,0.52,0.69,0.17
U004,36-45,F,艺术家,西安,低频,0.06,0.43,0.42,0.48,0.08,0.25,0.25,0.63,0.59,0.2
U005,18-25,M,艺术家,北京,中频,0.33,0.62,0.8,0.33,0.33,0.82,0.86,0.97,0.14,0.32
U006,26-35,F,商人,广州,中频,0.97,0.29,0.69,0.49,0.58,0.24,0.38,0.82,0.39,0.11
U007,55+,M,教师,北京,高频,0.46,0.71,0.44,0.29,0.69,0.82,0.8,0.41,0.5,0.63
U008,26-35,F,教师,武汉,中频,0.07,0.99,0.48,0.4,0.51,0.92,0.69,0.54,0.79,0.36
U009,55+,M,工程师,深圳,高频,0.66,0.17,0.61,0.56,0.65,0.65,0.97,0.33,0.8,0.11
U010,18-25,F,医生,深圳,中频,0.37,0.46,0.68,0.69,0.15,1.0,0.48,0.3,0.92,0.09
U011,26-35,F,艺术家,成都,中频,0.78,0.52,0.35,0.1,0.72,0.45,0.07,0.04,0.71,0.02
U012,36-45,M,教师,深圳,高频,0.17,0.16,0.56,0.96,0.23,0.41,0.18,0.64,0.43,0.03
U013,55+,M,公务员,武汉,中频,0.0,0.21,0.28,0.7,0.8,0.58,0.8,0.54,0.37,0.2
U014,18-25,F,公务员,成都,高频,0.39,0.39,0.11,0.35,0.46,0.17,0.67,0.8,0.92,0.59
U015,26-35,F,工程师,深圳,中频,0.12,0.37,0.14,0.39,0.6,0.57,0.42,0.49,0.54,0.92
U016,26-35,M,公务员,杭州,低频,0.19,0.84,0.62,0.87,0.95,0.48,0.2,0.38,0.56,0.65
U017,46-55,F,自由职业,西安,中频,0.17,0.57,0.8,0.22,0.03,0.22,0.29,0.78,0.57,0.77
U018,46-55,M,工程师,杭州,高频,0.82,0.37,0.82,0.04,0.72,0.55,0.99,0.1,0.83,0.75
U019,36-45,M,公务员,杭州,中频,0.86,0.09,0.87,0.12,0.81,0.21,0.74,0.69,0.86,0.61
U020,46-55,M,教师,深圳,低频,0.81,0.57,0.53,0.6,0.17,0.98,0.29,0.57,0.95,0.51
U021,18-25,M,自由职业,北京,中频,0.87,0.13,0.87,0.25,0.71,0.83,0.76,0.68,0.49,0.58
U022,36-45,F,自由职业,西安,低频,0.63,0.88,0.09,0.52,0.28,0.94,0.37,0.95,0.33,0.0
U023,18-25,F,商人,上海,高频,0.4,0.97,0.82,0.49,0.32,0.28,0.55,0.13,0.85,0.79
U024,18-25,M,工程师,西安,低频,0.12,0.86,0.44,0.0,0.96,0.2,0.69,0.13,0.65,0.16
U025,36-45,M,商人,杭州,低频,0.37,0.9,0.17,0.4,0.31,0.7,0.23,0.66,0.7,0.0
U026,46-55,M,教师,深圳,高频,0.68,0.01,0.7,0.82,0.99,0.42,0.13,0.07,0.38,0.73
U027,18-25,M,商人,成都,中频,0.14,0.77,0.75,0.13,0.99,0.14,0.53,0.01,0.65,0.44
U028,26-35,M,自由职业,西安,低频,0.09,0.1,0.75,0.59,0.38,0.96,0.31,0.14,0.28,0.08
U029,55+,F,学生,杭州,低频,0.52,0.51,0.75,0.3,0.05,0.9,0.95,0.49,0.11,0.5
U030,55+,M,学生,成都,中频,0.13,0.86,0.57,0.37,0.68,0.76,0.95,0.77,0.02,0.07
U031,36-45,M,学生,北京,中频,0.51,0.63,0.5,0.42,0.7,0.08,0.54,0.62,0.28,0.31
U032,55+,M,教师,成都,中频,0.59,0.76,0.65,0.64,0.31,0.44,0.95,0.24,0.24,0.92
U033,18-25,F,学生,杭州,高频,0.74,0.74,0.12,0.71,0.7,0.16,0.95,0.52,0.78,0.72
U034,26-35,F,教师,杭州,高频,0.89,0.77,0.03,0.81,0.27,0.06,0.71,0.58,0.08,0.46
U035,36-45,M,公务员,广州,中频,0.16,0.77,0.89,0.67,0.12,0.74,0.0,0.86,0.01,0.05
U036,36-45,F,教师,广州,低频,0.55,0.91,0.74,0.42,0.32,0.42,0.72,0.27,0.08,0.37
U037,55+,M,教师,深圳,高频,0.98,0.95,0.07,0.47,0.28,0.84,0.33,0.55,0.01,0.2
U038,55+,F,医生,西安,中频,0.59,0.49,0.77,0.2,0.9,0.76,0.25,0.01,0.41,0.23
U039,36-45,M,商人,北京,高频,0.38,0.74,0.31,0.21,0.98,0.42,0.96,0.97,0.14,0.28
U040,18-25,M,自由职业,成都,中频,0.97,0.08,0.1,0.13,0.82,0.07,0.57,0.43,0.96,0.24
U041,36-45,F,自由职业,成都,中频,0.45,0.23,0.94,0.14,0.77,0.11,0.11,0.45,0.31,0.12
U042,36-45,M,公务员,杭州,中频,0.27,0.12,0.16,0.69,0.83,0.7,0.04,0.84,0.33,0.09
U043,26-35,F,自由职业,北京,高频,0.3,0.82,0.17,0.95,0.85,0.56,0.55,0.09,0.1,0.79
U044,18-25,M,学生,深圳,低频,0.2,0.4,0.69,0.94,0.08,0.59,0.92,0.07,1.0,0.2
U045,46-55,M,工程师,成都,低频,0.04,0.46,0.17,0.57,0.82,0.39,0.03,0.68,0.17,0.21
U046,26-35,F,艺术家,西安,低频,0.03,0.62,0.25,0.3,0.41,0.55,0.06,0.28,0.14,0.2
U047,55+,M,学生,武汉,高频,0.36,0.54,0.48,0.91,0.5,0.39,0.18,0.32,0.22,0.9
U048,36-45,M,公务员,成都,高频,1.0,0.97,0.1,0.66,0.27,0.82,0.92,0.06,1.0,0.22
U049,46-55,F,教师,广州,低频,0.59,0.81,0.7,0.91,0.03,0.7,0.95,0.56,0.56,0.19
U050,46-55,F,教师,西安,低频,0.09,0.23,0.22,0.53,0.0,0.92,0.2,0.13,0.72,0.92
U051,36-45,M,学生,广州,高频,0.7,0.14,0.11,0.53,0.36,0.07,0.7,0.66,0.59,0.34
U052,36-45,M,教师,武汉,高频,0.96,0.65,0.17,0.97,0.69,0.93,0.79,0.22,0.59,0.18
U053,36-45,F,教师,广州,高频,0.0,0.7,0.57,0.85,0.77,0.57,0.18,0.32,0.81,0.61
U054,55+,M,公务员,广州,中频,0.75,0.24,0.98,0.17,0.89,0.09,0.71,0.64,0.89,0.45
U055,36-45,M,医生,上海,中频,0.26,0.11,0.0,0.39,0.73,0.97,0.88,0.49,0.38,0.55
U056,18-25,F,医生,广州,中频,0.07,0.85,0.29,0.32,0.95,0.07,0.17,0.38,0.73,0.55
U057,18-25,F,公务员,北京,中频,0.94,0.16,0.89,0.16,0.1,0.21,0.19,0.7,0.72,0.73
U058,36-45,F,艺术家,深圳,低频,0.05,0.57,0.84,0.15,0.36,0.43,0.29,0.66,0.6,0.2
U059,18-25,M,教师,杭州,低频,0.47,0.12,0.78,0.47,0.89,0.27,0.64,0.39,0.37,0.38
U060,26-35,F,学生,杭州,中频,0.47,0.23,0.27,0.06,0.75,0.67,0.09,0.34,0.54,0.97
U061,55+,M,学生,武汉,高频,0.42,0.54,0.87,0.47,0.88,0.48,0.08,0.9,0.71,0.5
U062,55+,M,工程师,西安,低频,0.95,0.17,0.21,0.19,0.04,0.08,0.68,0.2,0.82,0.15
U063,55+,F,商人,上海,低频,0.39,0.4,0.33,0.28,0.46,0.87,0.79,0.62,0.52,0.42
U064,46-55,M,教师,上海,低频,0.56,0.1,0.29,0.54,0.34,0.41,0.38,0.49,0.61,0.04
U065,36-45,F,教师,武汉,低频,0.4,0.88,0.69,0.05,0.48,0.27,0.37,0.34,0.79,0.31
U066,46-55,M,医生,广州,中频,0.97,0.44,0.83,0.27,0.42,0.65,0.19,0.21,0.82,0.74
U067,55+,F,学生,广州,低频,0.31,0.51,0.14,0.85,0.88,0.03,0.19,0.83,0.84,0.25
U068,46-55,M,商人,深圳,中频,0.37,0.46,0.4,0.92,0.68,0.24,0.49,0.45,0.96,0.47
U069,55+,F,商人,广州,中频,0.75,0.69,0.29,0.39,0.16,0.57,0.96,0.86,0.65,0.68
U070,36-45,F,学生,北京,中频,0.91,0.65,0.6,0.01,0.25,0.81,0.31,0.97,0.64,0.42
U071,46-55,F,公务员,杭州,低频,0.47,0.68,0.82,0.4,0.1,0.51,0.66,0.84,0.37,0.65
U072,55+,F,艺术家,上海,中频,0.06,0.99,0.64,0.86,0.26,0.71,0.89,0.3,0.15,0.77
U073,18-25,F,商人,广州,高频,0.03,0.5,0.3,0.91,0.4,0.74,0.58,0.99,0.82,0.34
U074,26-35,F,商人,杭州,低频,0.84,0.88,0.18,0.1,0.13,0.26,0.81,0.76,0.18,0.68
U075,36-45,M,医生,成都,低频,0.74,0.31,0.79,0.33,0.26,0.29,0.85,0.47,0.87,0.58
U076,55+,M,公务员,深圳,高频,0.12,0.68,0.53,0.41,0.87,0.15,0.99,0.34,0.99,0.89
U077,46-55,M,商人,广州,低频,0.49,0.63,0.18,0.63,0.0,0.27,0.76,0.17,0.76,0.49
U078,18-25,M,自由职业,武汉,中频,0.43,0.48,0.0,0.53,0.73,0.95,0.89,0.76,0.53,0.02
U079,18-25,M,医生,成都,中频,0.13,0.38,0.59,0.17,0.82,0.3,0.29,0.73,0.6,0.34
U080,26-35,F,公务员,成都,低频,0.16,0.91,0.81,0.02,0.22,0.98,0.21,0.02,0.5,0.12
U081,18-25,F,艺术家,北京,高频,0.99,0.66,0.65,0.02,0.69,0.42,0.38,0.55,0.47,0.15
U082,18-25,F,自由职业,上海,高频,0.52,0.62,0.7,0.42,0.9,0.51,0.62,0.28,0.78,0.5
U083,55+,M,艺术家,深圳,中频,0.7,0.3,0.04,0.5,0.21,0.93,0.33,0.0,0.67,0.91
U084,55+,F,教师,上海,高频,0.08,0.72,0.9,0.64,0.46,0.98,0.26,0.05,0.81,0.87
U085,36-45,F,商人,武汉,高频,0.12,0.85,0.89,0.01,0.14,0.65,0.33,0.89,0.96,0.27
U086,18-25,F,商人,广州,低频,0.4,0.96,0.27,0.39,0.85,0.8,0.65,0.8,0.11,0.7
U087,18-25,M,工程师,武汉,高频,0.48,0.57,0.44,0.61,0.78,0.61,0.86,0.88,0.73,0.89
U088,46-55,F,工程师,武汉,中频,0.05,0.26,0.31,0.7,0.68,0.77,0.58,0.57,0.98,0.67
U089,36-45,M,自由职业,深圳,中频,0.35,0.68,0.38,0.84,0.56,0.99,0.05,0.64,0.16,0.85
U090,46-55,M,工程师,西安,中频,0.24,0.97,0.05,0.22,0.64,0.4,0.23,0.46,0.8,0.45
U091,46-55,F,商人,上海,中频,0.75,0.02,0.4,0.04,0.55,0.83,0.79,0.96,0.64,0.89
U092,55+,M,公务员,成都,中频,0.83,0.82,0.84,0.33,0.77,0.6,0.72,0.36,0.45,0.1
U093,26-35,M,商人,成都,高频,0.96,0.29,0.52,0.7,0.05,0.16,0.14,0.72,0.72,0.11
U094,55+,M,医生,上海,中频,0.22,0.82,0.19,0.34,0.76,0.05,0.63,0.67,0.12,0.89
U095,46-55,M,公务员,北京,高频,0.74,0.55,0.43,0.59,0.92,0.78,0.91,0.69,0.17,0.82
U096,18-25,F,商人,武汉,中频,0.98,0.92,0.76,0.27,0.96,0.97,0.45,0.13,0.41,0.7
U097,55+,F,商人,深圳,低频,0.21,0.71,0.69,0.92,0.13,0.71,0.98,0.18,0.54,0.64
U098,18-25,F,公务员,武汉,高频,0.75,0.84,0.29,0.85,0.81,0.52,0.03,0.15,0.67,0.2
U099,26-35,F,艺术家,广州,低频,0.69,0.3,0.75,0.03,0.81,0.1,0.87,0.74,0.86,0.74
U100,55+,F,医生,杭州,高频,0.66,0.93,0.39,0.96,0.98,0.31,0.55,0.01,0.25,0.62
