station_id,lon,lat,temperature,precipitation
S01,116.5618,39.9113,22.5,277.5
S02,117.4261,39.2558,23.9,284.0
S03,117.098,39.0976,24.3,223.0
S04,116.898,40.4233,25.8,472.7
S05,116.234,40.4484,24.7,493.4
S06,116.234,40.2126,21.8,363.0
S07,116.0871,39.4569,25.4,282.6
S08,117.2993,39.1465,24.4,243.6
S09,116.9017,40.0263,23.6,464.4
S10,117.0621,39.6602,25.7,311.3
S11,116.0309,39.1831,26.5,204.3
S12,117.4549,39.7428,26.2,328.5
S13,117.2487,39.0516,23.7,246.9
S14,116.3185,40.364,23.8,486.0
S15,116.2727,39.3882,25.4,256.4
S16,116.2751,39.9938,26.1,419.3
S17,116.4564,39.4676,24.2,297.4
S18,116.7871,39.7801,24.5,394.8
S19,116.6479,39.8201,23.1,335.9
S20,116.4368,39.2773,23.2,242.4
S21,116.9178,40.4544,25.4,475.2
S22,116.2092,40.1627,26.5,374.0
S23,116.4382,40.4092,24.1,493.7
S24,116.5495,40.3422,25.8,478.9
S25,116.6841,39.8968,25.2,379.6
S26,117.1778,40.3828,23.3,467.2
S27,116.2995,39.1327,25.5,169.9
S28,116.7714,39.294,27.3,242.0
S29,116.8886,39.0678,24.9,199.9
S30,116.0697,39.488,27.3,265.5
