date,temperature,precipitation
2024-01-01,16.0,45.2
2024-01-02,15.8,54.5
2024-01-03,18.4,51.3
2024-01-04,21.2,55.9
2024-01-05,18.7,80.7
2024-01-06,19.6,89.8
2024-01-07,24.1,78.0
2024-01-08,23.3,89.9
2024-01-09,21.6,83.4
2024-01-10,24.3,71.8
2024-01-11,22.8,79.0
2024-01-12,23.3,86.9
2024-01-13,25.1,66.2
2024-01-14,21.0,76.6
2024-01-15,21.5,28.6
2024-01-16,23.9,56.6
2024-01-17,22.9,43.0
2024-01-18,25.3,33.2
2024-01-19,22.6,31.8
2024-01-20,21.2,6.5
2024-01-21,26.4,20.8
2024-01-22,22.4,24.4
2024-01-23,22.3,34.8
2024-01-24,18.5,15.3
2024-01-25,19.4,14.3
2024-01-26,19.8,20.4
2024-01-27,16.3,38.8
2024-01-28,18.4,38.1
2024-01-29,15.4,35.3
2024-01-30,14.9,51.9
2024-01-31,13.3,54.2
2024-02-01,17.1,69.1
2024-02-02,12.3,58.2
2024-02-03,9.2,67.1
2024-02-04,12.0,70.6
2024-02-05,7.0,63.0
2024-02-06,9.0,82.4
2024-02-07,3.9,82.6
2024-02-08,4.5,79.2
2024-02-09,6.9,74.6
2024-02-10,7.5,59.4
2024-02-11,5.9,64.9
2024-02-12,5.1,60.4
2024-02-13,4.5,49.9
2024-02-14,2.0,50.0
2024-02-15,3.6,49.3
2024-02-16,4.3,57.9
2024-02-17,7.5,35.2
2024-02-18,6.5,31.1
2024-02-19,2.7,23.8
2024-02-20,7.5,2.6
2024-02-21,6.7,20.0
2024-02-22,6.9,20.7
2024-02-23,10.3,45.9
2024-02-24,12.0,21.8
2024-02-25,12.7,30.4
2024-02-26,10.2,31.8
2024-02-27,12.3,25.9
2024-02-28,14.6,55.1
2024-02-29,17.0,57.5
