customer_id,complaint_date,complaint_type,severity,resolution_time_days,is_resolved,purchase_id
CUST_000000,2024-08-09,Product Defect,Medium,12.0,1,10
CUST_000001,2024-04-28,Product Defect,Low,7.0,1,37
CUST_000001,2024-09-16,Product Defect,High,7.0,1,41
CUST_000002,2023-06-08,Billing Error,Medium,2.0,1,57
CUST_000002,2025-01-29,Product Defect,Medium,,0,66
CUST_000003,2025-06-21,Product Defect,Medium,11.0,1,92
CUST_000003,2023-03-10,Customer Service,Low,13.0,1,76
CUST_000003,2025-08-02,Other,High,,0,93
CUST_000004,2025-02-08,Product Defect,Medium,14.0,1,104
CUST_000004,2025-01-22,Customer Service,Medium,,0,103
CUST_000005,2023-05-19,Customer Service,Medium,1.0,1,108
CUST_000006,2024-06-22,Delivery Issue,Low,1.0,1,138
CUST_000007,2025-01-23,Product Defect,Low,10.0,1,168
CUST_000008,2024-09-20,Delivery Issue,Low,7.0,1,187
CUST_000008,2025-04-03,Delivery Issue,Low,,0,191
CUST_000010,2025-06-18,Delivery Issue,High,4.0,1,226
CUST_000013,2025-06-20,Delivery Issue,Low,,0,282
CUST_000013,2023-07-03,Billing Error,Medium,9.0,1,269
CUST_000015,2023-12-06,Billing Error,Low,13.0,1,326
CUST_000017,2023-10-26,Customer Service,Medium,12.0,1,394
CUST_000018,2024-04-10,Billing Error,High,,0,435
CUST_000018,2023-08-25,Customer Service,Medium,7.0,1,429
CUST_000020,2025-01-12,Product Defect,Low,1.0,1,478
CUST_000020,2024-10-26,Other,Medium,,0,476
CUST_000022,2025-05-21,Product Defect,Low,,0,509
CUST_000022,2024-02-16,Customer Service,Medium,3.0,1,497
CUST_000023,2023-01-31,Other,Medium,5.0,1,515
CUST_000023,2024-10-11,Delivery Issue,Medium,9.0,1,535
CUST_000024,2025-01-17,Delivery Issue,Low,7.0,1,564
CUST_000024,2025-09-11,Product Defect,High,11.0,1,570
CUST_000024,2023-09-05,Customer Service,High,10.0,1,552
CUST_000025,2025-04-29,Delivery Issue,High,6.0,1,597
CUST_000025,2023-05-04,Customer Service,Low,4.0,1,580
CUST_000025,2023-11-27,Delivery Issue,High,13.0,1,584
CUST_000027,2025-07-08,Customer Service,Medium,10.0,1,639
CUST_000027,2023-01-23,Other,High,2.0,1,622
CUST_000028,2025-05-08,Billing Error,Medium,4.0,1,669
CUST_000029,2023-03-20,Customer Service,Low,9.0,1,676
CUST_000029,2023-07-22,Delivery Issue,Medium,6.0,1,678
CUST_000031,2023-09-08,Customer Service,Medium,5.0,1,714
CUST_000031,2025-06-21,Customer Service,Low,10.0,1,725
CUST_000032,2023-08-08,Customer Service,High,,0,735
CUST_000033,2025-06-08,Billing Error,Medium,5.0,1,768
CUST_000036,2025-04-12,Delivery Issue,Medium,,0,860
CUST_000039,2023-08-03,Delivery Issue,Medium,2.0,1,902
CUST_000039,2025-12-15,Customer Service,Low,10.0,1,924
CUST_000039,2024-04-11,Delivery Issue,Low,10.0,1,911
CUST_000040,2025-02-09,Delivery Issue,Low,2.0,1,942
CUST_000043,2025-12-14,Product Defect,Low,8.0,1,1036
CUST_000044,2024-07-16,Other,Low,1.0,1,1045
CUST_000046,2024-12-01,Product Defect,Low,6.0,1,1082
CUST_000047,2025-03-26,Other,High,11.0,1,1106
CUST_000048,2024-12-31,Customer Service,Low,10.0,1,1130
CUST_000051,2023-11-04,Customer Service,Low,,0,1194
CUST_000051,2024-09-25,Delivery Issue,High,11.0,1,1201
CUST_000052,2025-11-30,Delivery Issue,High,3.0,1,1249
CUST_000053,2024-01-30,Customer Service,Medium,8.0,1,1256
CUST_000055,2024-09-16,Product Defect,Medium,,0,1328
CUST_000055,2023-10-11,Product Defect,Medium,5.0,1,1316
CUST_000055,2025-10-09,Billing Error,High,3.0,1,1342
CUST_000055,2025-05-11,Billing Error,Medium,14.0,1,1336
CUST_000056,2024-01-06,Other,Medium,7.0,1,1351
CUST_000057,2025-12-19,Billing Error,Low,,0,1377
CUST_000057,2023-07-19,Billing Error,Low,,0,1365
CUST_000057,2024-01-02,Other,Medium,13.0,1,1368
CUST_000058,2024-08-25,Product Defect,Medium,10.0,1,1404
CUST_000058,2024-05-25,Other,Low,11.0,1,1399
CUST_000059,2025-07-02,Delivery Issue,Low,8.0,1,1433
CUST_000059,2023-08-16,Product Defect,Low,,0,1429
CUST_000059,2023-03-24,Customer Service,High,7.0,1,1425
CUST_000060,2024-12-24,Delivery Issue,High,9.0,1,1446
CUST_000061,2025-03-28,Delivery Issue,High,11.0,1,1465
CUST_000061,2025-11-08,Delivery Issue,Low,5.0,1,1471
CUST_000062,2023-03-20,Billing Error,Low,2.0,1,1475
CUST_000062,2025-04-20,Product Defect,Low,3.0,1,1480
CUST_000062,2024-05-08,Other,Medium,13.0,1,1477
CUST_000063,2024-10-14,Customer Service,High,,0,1512
CUST_000064,2024-12-25,Delivery Issue,High,3.0,1,1551
CUST_000065,2025-01-24,Delivery Issue,Low,9.0,1,1574
CUST_000067,2024-11-18,Delivery Issue,Low,3.0,1,1627
CUST_000067,2025-11-27,Product Defect,High,4.0,1,1634
CUST_000068,2025-01-04,Delivery Issue,High,,0,1647
CUST_000071,2025-06-26,Delivery Issue,Medium,2.0,1,1706
CUST_000071,2025-01-08,Product Defect,High,12.0,1,1702
CUST_000071,2025-05-04,Billing Error,Medium,8.0,1,1705
CUST_000071,2023-09-07,Other,Low,11.0,1,1695
CUST_000072,2025-06-17,Billing Error,High,1.0,1,1731
CUST_000072,2024-01-05,Billing Error,High,9.0,1,1716
CUST_000072,2025-03-17,Delivery Issue,Low,2.0,1,1727
CUST_000074,2024-07-19,Delivery Issue,Low,4.0,1,1753
CUST_000075,2024-07-17,Delivery Issue,High,2.0,1,1769
CUST_000075,2024-12-15,Delivery Issue,Medium,,0,1775
CUST_000076,2023-01-05,Delivery Issue,Low,11.0,1,1781
CUST_000077,2024-04-20,Other,Medium,,0,1805
CUST_000078,2024-08-04,Product Defect,Low,13.0,1,1819
CUST_000079,2025-06-17,Delivery Issue,Medium,12.0,1,1835
CUST_000079,2025-10-27,Product Defect,Medium,2.0,1,1844
