customer_id,survey_date,nps_score,purchase_id,ease_of_use,product_quality,customer_service
CUST_000000,2023-11-27,7,3,3,4,2
CUST_000000,2025-12-29,7,20,4,3,5
CUST_000001,2023-02-17,10,22,5,5,5
CUST_000002,2023-11-02,9,62,5,4,5
CUST_000003,2023-06-11,7,80,4,4,3
CUST_000003,2024-02-27,6,83,3,3,3
CUST_000003,2025-12-26,7,96,4,2,1
CUST_000004,2024-03-05,7,98,4,4,3
CUST_000004,2025-05-28,10,105,5,5,5
CUST_000005,2023-07-26,8,109,4,4,5
CUST_000006,2025-03-02,9,145,5,5,4
CUST_000006,2025-10-04,10,150,5,5,5
CUST_000007,2023-01-20,7,152,4,4,4
CUST_000007,2023-03-29,10,153,4,5,5
CUST_000007,2023-04-20,9,154,4,4,5
CUST_000008,2024-03-22,5,182,3,4,3
CUST_000008,2024-04-05,7,183,4,3,3
CUST_000008,2025-04-23,8,192,5,4,5
CUST_000009,2023-02-01,10,196,5,5,5
CUST_000009,2025-10-26,3,213,1,2,2
CUST_000009,2025-12-05,8,215,3,4,4
CUST_000010,2023-10-13,3,219,1,1,2
CUST_000010,2025-06-29,10,226,5,5,5
CUST_000010,2025-10-05,8,227,4,3,3
CUST_000011,2024-10-30,10,243,5,5,5
CUST_000011,2025-02-02,10,247,5,5,5
CUST_000011,2025-11-02,10,252,5,5,5
CUST_000012,2023-08-19,6,258,2,2,4
CUST_000012,2025-03-30,4,262,2,2,3
CUST_000013,2023-04-05,8,268,4,4,3
CUST_000013,2024-07-23,8,276,5,3,3
CUST_000014,2025-05-23,10,310,5,5,5
CUST_000014,2025-08-12,10,311,5,5,4
CUST_000015,2023-09-10,10,323,5,5,5
CUST_000015,2024-09-21,10,334,5,5,5
CUST_000015,2025-02-22,10,340,5,5,5
CUST_000016,2023-08-09,6,361,2,3,3
CUST_000016,2023-09-10,6,363,3,2,3
CUST_000016,2023-11-07,9,365,5,5,3
CUST_000017,2025-11-21,10,425,5,5,5
CUST_000018,2023-12-06,7,432,4,2,3
CUST_000019,2023-07-19,10,445,5,5,5
CUST_000020,2023-11-02,8,471,4,4,5
CUST_000021,2024-06-04,5,486,3,2,2
CUST_000021,2024-06-18,5,487,3,3,3
CUST_000021,2025-07-20,7,491,4,4,4
CUST_000022,2025-03-09,7,505,3,3,4
CUST_000022,2025-09-28,9,513,5,5,4
CUST_000023,2023-05-24,10,523,5,4,4
CUST_000024,2023-05-07,8,546,4,4,4
CUST_000024,2025-08-15,10,568,5,5,5
CUST_000024,2025-09-21,10,570,5,5,5
