customer_id,purchase_date,purchase_amount,base_price,discount_amount,discount_pct,is_promotion,promotion_type,order_number,discount_used,is_returned,product_category,price_sensitivity,promotion_responsiveness
CUST_000000,2023-04-09,28.92,47.68,18.76,0.3934,1,Membership Discount,1,1,0,Beauty,0.33114245140114085,0.6374857286192506
CUST_000000,2023-04-30,187.37,187.37,0.0,0.0,0,None,2,0,1,Home,0.33114245140114085,0.6374857286192506
CUST_000000,2023-09-04,88.94,88.94,0.0,0.0,0,None,3,0,0,Clothing,0.33114245140114085,0.6374857286192506
CUST_000000,2023-11-17,152.53,152.53,0.0,0.0,0,None,4,0,0,Sports,0.33114245140114085,0.6374857286192506
CUST_000000,2023-12-31,17.81,21.56,3.75,0.1738,1,Direct Discount,5,1,0,Food,0.33114245140114085,0.6374857286192506
CUST_000000,2024-02-05,17.07,24.18,7.11,0.2941,1,Bundle Deal,6,1,0,Beauty,0.33114245140114085,0.6374857286192506
CUST_000000,2024-03-09,67.79,67.79,0.0,0.0,0,None,7,0,0,Clothing,0.33114245140114085,0.6374857286192506
CUST_000000,2024-03-27,139.79,139.79,0.0,0.0,0,None,8,0,0,Home,0.33114245140114085,0.6374857286192506
CUST_000000,2024-05-28,611.77,611.77,0.0,0.0,0,None,9,0,0,Electronics,0.33114245140114085,0.6374857286192506
CUST_000000,2024-08-03,19.76,29.22,9.45,0.3235,1,Membership Discount,10,1,0,Beauty,0.33114245140114085,0.6374857286192506
CUST_000000,2024-08-04,128.32,187.5,59.18,0.3156,1,Direct Discount,11,1,0,Sports,0.33114245140114085,0.6374857286192506
CUST_000000,2024-09-06,100.65,100.65,0.0,0.0,0,None,12,0,0,Clothing,0.33114245140114085,0.6374857286192506
CUST_000000,2024-09-12,66.69,66.69,0.0,0.0,0,None,13,0,0,Clothing,0.33114245140114085,0.6374857286192506
CUST_000000,2024-09-15,28.82,28.82,0.0,0.0,0,None,14,0,0,Food,0.33114245140114085,0.6374857286192506
CUST_000000,2024-10-25,301.5,301.5,0.0,0.0,0,None,15,0,0,Electronics,0.33114245140114085,0.6374857286192506
CUST_000000,2025-04-07,46.48,64.38,17.9,0.2781,1,Coupon,16,1,0,Beauty,0.33114245140114085,0.6374857286192506
CUST_000000,2025-05-05,192.79,192.79,0.0,0.0,0,None,17,0,0,Sports,0.33114245140114085,0.6374857286192506
CUST_000000,2025-07-07,34.96,57.73,22.77,0.3944,1,Direct Discount,18,1,0,Beauty,0.33114245140114085,0.6374857286192506
CUST_000000,2025-07-31,435.93,435.93,0.0,0.0,0,None,19,0,0,Electronics,0.33114245140114085,0.6374857286192506
CUST_000000,2025-08-20,127.32,127.32,0.0,0.0,0,None,20,0,0,Sports,0.33114245140114085,0.6374857286192506
CUST_000000,2025-12-16,18.87,21.66,2.79,0.1287,1,Membership Discount,21,1,0,Food,0.33114245140114085,0.6374857286192506
CUST_000001,2023-01-13,96.31,96.31,0.0,0.0,0,None,1,0,0,Clothing,0.9200092164552484,0.9399142854532827
CUST_000001,2023-02-04,93.67,93.67,0.0,0.0,0,None,2,0,0,Sports,0.9200092164552484,0.9399142854532827
CUST_000001,2023-03-25,34.54,34.54,0.0,0.0,0,None,3,0,0,Beauty,0.9200092164552484,0.9399142854532827
