factor,high_loyalty_avg,medium_loyalty_avg,low_loyalty_avg,high_low_difference,correlation_with_loyalty,impact_direction
frequency,34.282208588957054,18.47457627118644,17.775,16.507208588957056,0.6619315031217343,positive
total_base_value_y,4291.513680981595,2448.1250847457627,2209.9006875,2081.612993481595,0.6406597334424475,positive
total_base_value_x,4291.513680981595,2448.1250847457627,2209.9006875,2081.612993481595,0.6406597334424475,positive
avg_nps,9.78323108384458,7.606403013182675,7.908333333333334,1.8748977505112459,0.49113601427809095,positive
total_spend,3989.2785889570546,2361.3441807909603,2012.1486249999998,1977.1299639570548,0.6475247466428844,positive
avg_discount_pct_y,0.08850092939539063,0.05134224210734844,0.11137541110760969,-0.022874481712219064,-0.24892270231810656,negative
Electronics_spend,1914.4593251533743,1235.459209039548,937.0103124999999,977.4490126533743,0.5075101873506888,positive
total_interactions,11.0,6.548022598870056,6.6,4.4,0.5051303412789159,positive
promotion_purchase_rate_y,0.30141418084900373,0.19406852573303807,0.3838573027732855,-0.08244312192428177,-0.288701462235309,negative
promotion_purchase_rate_x,0.30141418084900373,0.19406852573303807,0.3838573027732855,-0.08244312192428177,-0.288701462235309,negative
