customer_id,first_purchase,last_purchase,total_purchases,total_spend,avg_order_value,avg_discount_pct,promotion_rate,avg_base_price,age,gender,segment,channel,region,loyalty_tendency,price_sensitivity,promotion_responsiveness,duration_days,days_since_last,active_categories,primary_category,avg_category_threshold,max_category_threshold,weighted_churn_threshold,primary_churn_threshold,dynamic_churn_threshold,churned,avg_inter_purchase_days,time_to_next_purchase,repurchase_rate,threshold_group,expected_next_purchase_days,repurchase_probability
CUST_000000,2023-04-09,2025-12-16,21,2814.08,134.0038095238095,0.1096,0.38095238095238093,140.75238095238097,56,Female,High Net Worth,Online,East,0.40725847818088706,0.33114245140114085,0.6374857286192506,997,15,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,489.87898021966913,489.87898021966913,0,49.1,49.1,1,Long Cycle,49.1,0.7553481279587231
CUST_000001,2023-01-13,2025-11-04,33,4435.29,134.40272727272728,0.10926666666666666,0.3333333333333333,146.71666666666667,69,Male,Senior,Online,North,0.7031745516033406,0.9200092164552484,0.9399142854532827,1083,57,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,438.11544047013047,438.11544047013047,0,32.0625,32.0625,1,Medium Cycle,32.0625,0.3065559467969057
CUST_000002,2023-01-13,2025-12-19,22,2169.56,98.61636363636363,0.03946363636363636,0.13636363636363635,101.50454545454545,46,Female,Senior,Store,Central,0.5203374445674649,0.29655499919735395,0.4733691945728094,1083,12,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,489.87898021966913,489.87898021966913,0,51.0,51.0,1,Long Cycle,51.0,0.7854608246822026
CUST_000003,2023-03-06,2025-12-14,21,2578.68,122.7942857142857,0.12856666666666666,0.47619047619047616,136.3709523809524,32,Male,High Net Worth,Store,East,0.17209251620965302,0.3739237947029612,0.6660063226994886,1031,17,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,50.7,50.7,1,Short Cycle,50.7,0.7527933082630596
CUST_000004,2023-01-03,2025-12-11,10,1683.3400000000001,168.334,0.03654,0.1,170.16400000000002,60,Male,Student,Online,East,0.2904109832941283,0.15999889561214004,0.44532330716044344,1093,20,5,Beauty,463.67855203414626,513.7160654092345,463.67855203414626,438.11544047013047,438.11544047013047,0,119.22222222222223,119.22222222222223,1,Medium Cycle,119.22222222222223,0.9778818327431942
CUST_000005,2023-01-09,2025-12-18,25,2888.95,115.55799999999999,0.154236,0.52,130.1064,25,Female,Young Professional,Hybrid,North,0.557115456904987,0.3618485575991256,0.9097812125447142,1087,13,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,44.75,44.75,1,Short Cycle,44.75,0.7401369595312515
CUST_000006,2023-01-15,2025-12-15,20,2366.93,118.34649999999999,0.09607,0.35,129.357,38,Female,Senior,Online,Central,0.5037657512462608,0.611205739202266,0.5277620876934614,1081,16,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,56.05263157894737,56.05263157894737,1,Short Cycle,56.05263157894737,0.7916366282787214
CUST_000007,2023-01-08,2025-11-28,24,3031.71,126.32125,0.10280416666666668,0.25,135.4475,56,Female,Senior,Store,West,0.39194828305873863,0.7867572177039411,0.6115696216618407,1088,33,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,45.869565217391305,45.869565217391305,1,Short Cycle,45.869565217391305,0.6029326201422971
CUST_000008,2023-01-25,2025-12-11,20,1464.23,73.2115,0.11578999999999999,0.4,80.179,36,Female,Family,Store,Central,0.5129189862442906,0.5721340816288807,0.713013181780703,1071,20,5,Beauty,463.67855203414626,513.7160654092345,463.67855203414626,489.87898021966913,489.87898021966913,0,55.31578947368421,55.31578947368421,1,Long Cycle,55.31578947368421,0.7630253737060103
CUST_000009,2023-01-28,2025-11-25,20,2865.02,143.251,0.134195,0.4,159.05450000000002,40,Other,Student,Hybrid,South,0.324469764121065,0.08104673210248536,0.6827144177751686,1068,36,5,Beauty,463.67855203414626,513.7160654092345,463.67855203414626,378.3554667547274,378.3554667547274,0,54.31578947368421,54.31578947368421,1,Short Cycle,54.31578947368421,0.644820379148892
CUST_000010,2023-02-09,2025-12-02,14,1255.51,89.67928571428571,0.08391428571428572,0.35714285714285715,95.93285714285715,28,Female,High Net Worth,Store,West,0.26888486768721137,0.1608901791556643,0.3980636786563229,1056,29,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,79.0,79.0,1,Short Cycle,79.0,0.8446626691202033
CUST_000011,2023-01-13,2025-12-19,25,2963.02,118.5208,0.085804,0.24,126.62119999999999,28,Male,High Net Worth,Hybrid,East,0.5765737251334517,0.08580144442577511,0.6513919545010991,1083,12,5,Beauty,463.67855203414626,513.7160654092345,463.67855203414626,513.7160654092345,513.7160654092345,0,44.625,44.625,1,Long Cycle,44.625,0.745857133690807
CUST_000012,2023-04-11,2025-12-06,13,2104.88,161.91384615384615,0.02503846153846154,0.15384615384615385,164.21538461538464,41,Female,Family,Online,West,0.016698860364880535,0.2001088105028608,0.20218396004869815,995,25,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,80.83333333333333,80.83333333333333,1,Short Cycle,80.83333333333333,0.8712006359217173
CUST_000013,2023-03-23,2025-10-30,18,2445.96,135.88666666666666,0.0947,0.3333333333333333,145.72611111111112,70,Male,Young Professional,Hybrid,East,0.3684777589251536,0.23300817341082714,0.8720640383177507,1014,62,5,Beauty,463.67855203414626,513.7160654092345,463.67855203414626,378.3554667547274,378.3554667547274,0,56.0,56.0,1,Short Cycle,56.0,0.4515853787855235
CUST_000014,2023-02-28,2025-08-25,27,2693.6,99.76296296296296,0.07476296296296298,0.3333333333333333,106.98407407407409,53,Male,High Net Worth,Online,East,0.5417050420062127,0.22283223328420015,0.9496882038282237,1037,128,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,498.32680731697,498.32680731697,0,34.96153846153846,34.96153846153846,1,Long Cycle,34.96153846153846,0.029616387630465035
CUST_000015,2023-01-08,2025-12-28,44,4329.51,98.39795454545455,0.0948,0.36363636363636365,107.43431818181817,57,Male,Student,Hybrid,West,0.8401386759350017,0.5060840384894199,0.5664026693632754,1088,3,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,25.232558139534884,25.232558139534884,1,Short Cycle,25.232558139534884,0.6739297763595185
CUST_000016,2023-02-07,2025-12-26,20,2031.91,101.5955,0.08691499999999999,0.35,112.19800000000001,41,Male,Young Professional,Store,East,0.45685339722281393,0.15443717689204847,0.8844273660019865,1058,5,5,Beauty,463.67855203414626,513.7160654092345,463.67855203414626,378.3554667547274,378.3554667547274,0,55.421052631578945,55.421052631578945,1,Short Cycle,55.421052631578945,0.8466911150033432
CUST_000017,2023-01-01,2025-12-03,50,4707.3099999999995,94.1462,0.109306,0.36,101.2854,20,Other,High Net Worth,Hybrid,East,0.8490969581800873,0.5126679312485971,0.8236242558333113,1095,28,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,21.775510204081634,21.775510204081634,1,Short Cycle,21.775510204081634,0.449783371598094
CUST_000018,2023-03-20,2025-06-29,15,2321.5,154.76666666666668,0.11351333333333333,0.3333333333333333,163.58733333333333,39,Female,High Net Worth,Store,South,0.28949014022412883,0.5617648916587262,0.6765382013568658,1017,185,5,Beauty,478.1590038829132,570.7290665608045,478.1590038829132,438.11544047013047,438.11544047013047,0,59.42857142857143,59.42857142857143,1,Medium Cycle,59.42857142857143,0.005446622712157012
CUST_000019,2023-01-15,2025-12-25,27,2865.98,106.14740740740741,0.08921851851851852,0.2962962962962963,117.62333333333333,70,Female,Family,Store,Central,0.6819118597889053,0.31393341666372326,0.7889693180897402,1081,6,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,489.87898021966913,489.87898021966913,0,41.34615384615385,41.34615384615385,1,Long Cycle,41.34615384615385,0.7632154032110097
CUST_000020,2023-03-16,2025-12-21,16,1797.44,112.34,0.05324375,0.1875,115.07875,19,Male,Senior,Store,Central,0.4679785330082866,0.6737266736646161,0.2691122450512037,1021,10,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,67.4,67.4,1,Short Cycle,67.4,0.8777577796619322
CUST_000021,2023-12-26,2025-11-19,9,1204.5,133.83333333333334,0.13234444444444446,0.3333333333333333,143.63444444444445,41,Male,Family,Store,South,0.2374291344783716,0.5714781949326763,0.4370767742562544,736,42,3,Clothing,443.3956575446975,513.7160654092345,443.3956575446975,378.3554667547274,378.3554667547274,0,86.75,86.75,1,Short Cycle,86.75,0.81789114522575
CUST_000022,2023-02-20,2025-09-22,21,2662.43,126.78238095238095,0.048728571428571434,0.19047619047619047,128.53333333333333,61,Male,Young Professional,Online,West,0.32397085931827824,0.2329633068365972,0.7546955489599789,1045,100,5,Beauty,463.67855203414626,513.7160654092345,463.67855203414626,498.32680731697,498.32680731697,0,47.25,47.25,1,Long Cycle,47.25,0.14240717043600937
CUST_000023,2023-01-29,2025-12-26,30,4517.83,150.59433333333334,0.10381333333333333,0.3333333333333333,160.597,47,Male,Family,Online,North,0.6917594436451487,0.45575844372043905,0.2767649463492652,1067,5,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,438.11544047013047,438.11544047013047,0,36.62068965517241,36.62068965517241,1,Medium Cycle,36.62068965517241,0.7392860153984856
CUST_000024,2023-04-07,2025-12-16,30,3419.74,113.99133333333333,0.06783,0.23333333333333334,120.64566666666666,55,Female,Student,Online,North,0.6723896048474984,0.29795606102927125,0.44036894767673557,999,15,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,489.87898021966913,489.87898021966913,0,33.93103448275862,33.93103448275862,1,Long Cycle,33.93103448275862,0.6494546152437669
CUST_000025,2023-01-04,2025-12-14,30,2896.65,96.555,0.10930666666666666,0.3,111.93599999999999,19,Female,Young Professional,Online,North,0.7070298950457968,0.5676999624743375,0.45394211704633414,1092,17,5,Beauty,463.67855203414626,513.7160654092345,463.67855203414626,489.87898021966913,489.87898021966913,0,37.06896551724138,37.06896551724138,1,Long Cycle,37.06896551724138,0.6579671104086969
CUST_000026,2023-02-03,2025-11-21,17,2332.9100000000003,137.23000000000002,0.07703529411764706,0.29411764705882354,143.5370588235294,38,Female,Family,Hybrid,South,0.45756507965753934,0.5311186411322782,0.7644012115381643,1062,40,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,438.11544047013047,438.11544047013047,0,63.875,63.875,1,Medium Cycle,63.875,0.6858400780664333
CUST_000027,2023-01-21,2025-12-08,21,2068.9,98.51904761904763,0.1207857142857143,0.5238095238095238,112.31952380952382,50,Male,Family,Online,South,0.3748987120830798,0.4820242973820013,0.8028848164506335,1075,23,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,52.6,52.6,1,Short Cycle,52.6,0.725804854657461
CUST_000028,2023-02-13,2025-12-19,32,3496.65,109.2703125,0.101328125,0.375,117.65187499999999,29,Female,Family,Hybrid,East,0.6033002883680049,0.12649685666273983,0.7606711337171326,1052,12,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,33.54838709677419,33.54838709677419,1,Short Cycle,33.54838709677419,0.6689146955800738
CUST_000029,2023-02-04,2025-04-12,12,2250.36,187.53,0.0631,0.16666666666666666,202.46333333333334,39,Female,High Net Worth,Online,North,0.1398130599924416,0.2526083905536553,0.16249099667821862,1061,263,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,438.11544047013047,438.11544047013047,0,72.54545454545455,72.54545454545455,1,Medium Cycle,72.54545454545455,5.630394793088023e-05
CUST_000030,2023-02-07,2025-11-02,24,3503.1,145.9625,0.015720833333333333,0.08333333333333333,148.02291666666667,61,Female,Family,Online,West,0.45949389393491713,0.23260239006317812,0.5577552489794906,1058,59,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,438.11544047013047,438.11544047013047,0,43.43478260869565,43.43478260869565,1,Medium Cycle,43.43478260869565,0.37615206199430495
CUST_000031,2023-02-14,2025-12-24,21,2510.9700000000003,119.57000000000001,0.053904761904761914,0.23809523809523808,126.28142857142856,42,Female,Family,Hybrid,West,0.4510847174833744,0.07160488626408137,0.5801857388729785,1051,7,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,378.3554667547274,378.3554667547274,0,52.2,52.2,1,Short Cycle,52.2,0.8202928999034611
CUST_000032,2023-02-28,2025-09-01,16,2188.07,136.754375,0.068825,0.3125,144.905,66,Male,Student,Store,North,0.47703610287440623,0.14824473343112965,0.9515043622424871,1037,121,6,Beauty,481.52030445525605,570.7290665608045,481.52030445525605,438.11544047013047,438.11544047013047,0,61.06666666666667,61.06666666666667,1,Medium Cycle,61.06666666666667,0.1121416421823016
