request_id,timestamp,endpoint,http_method,user_segment,user_id,param_complexity,param_count,payload_size_kb,is_cached,server_load,downstream_count,downstream_degraded_count,downstream_max_latency_ms,downstream_total_latency_ms,has_downstream_degradation,has_downstream_outage,response_time_ms
req_485116,2026-05-01 14:50:45.826584,/api/auth/login,PUT,internal,user_863,simple,3,3,False,0.67,2,0,30.440240837915862,49.101856953287566,False,False,393.1559339695329
req_520083,2026-05-01 14:51:20.826584,/api/users,DELETE,bot,user_304,complex,11,145,False,0.38,2,0,42.20759797919523,47.37662883066252,False,False,832.222551605148
req_299988,2026-05-01 14:52:59.826584,/api/payments,DELETE,bot,user_786,medium,5,37,True,0.42,3,0,53.571634827677,116.84611316809195,False,False,1537.8013373949655
req_601178,2026-05-01 15:02:35.826584,/api/products,PUT,internal,user_742,medium,5,43,False,0.84,2,1,60.0,89.9323642853137,True,False,404.9539569487511
req_779926,2026-05-01 15:08:29.826584,/api/auth/login,GET,regular,user_991,simple,2,2,True,0.4,2,0,45.7172318438423,69.04164650487252,False,False,547.6657292069492
req_828503,2026-05-01 15:09:05.826584,/api/inventory,DELETE,vip,user_47,medium,4,32,True,0.83,2,0,19.979879424297042,27.14629704841821,False,False,390.3473462518189
req_722614,2026-05-01 15:12:20.826584,/api/orders,GET,regular,user_384,medium,6,28,True,0.68,3,0,38.370522363408405,87.71547499504405,False,False,709.9985764352837
req_215254,2026-05-01 15:19:56.826584,/api/users,DELETE,vip,user_522,medium,8,45,False,0.57,2,0,37.40325458756072,41.90629145464022,False,False,364.20695951687725
req_598152,2026-05-01 15:21:26.826584,/api/inventory,GET,regular,user_922,medium,7,43,True,0.34,2,0,29.68784424544352,35.243575564546525,False,False,470.3082931384204
req_655041,2026-05-01 15:23:18.826584,/api/payments,DELETE,bot,user_622,complex,9,77,True,0.46,3,1,135.0,244.5960654138645,True,False,3460.8011849630375
req_425211,2026-05-01 15:23:20.826584,/api/products,GET,bot,user_171,complex,12,190,False,0.22,2,0,40.37960775028217,57.74315806892832,False,False,584.5570336647954
req_222870,2026-05-01 15:33:42.826584,/api/orders,GET,internal,user_548,simple,3,7,True,0.72,3,0,27.794502618708865,67.58821124760432,False,False,384.4100914458789
req_793723,2026-05-01 15:37:02.826584,/api/payments,DELETE,regular,user_964,medium,7,24,True,0.23,3,0,122.31868843068253,177.36489861063387,False,False,1159.876665319424
req_263258,2026-05-01 15:37:52.826584,/api/orders,GET,new,user_929,medium,8,21,False,0.89,3,0,26.614177591315624,63.5328076605235,False,False,721.310997582225
req_889258,2026-05-01 15:39:11.826584,/api/payments,GET,bot,user_712,simple,1,9,False,0.78,3,0,100.75795378094574,157.70987107755738,False,False,1061.368162384995
req_381025,2026-05-01 15:42:29.826584,/api/search,DELETE,vip,user_223,simple,1,1,False,0.52,2,1,90.0,109.97429275128421,True,False,930.7884770101972
req_381646,2026-05-01 15:45:22.826584,/api/orders,DELETE,internal,user_62,complex,9,116,True,0.82,3,0,42.08421673562642,83.27378729336068,False,False,757.3059961936042
req_708446,2026-05-01 15:45:23.826584,/api/inventory,POST,internal,user_850,simple,1,5,True,0.45,2,0,19.5756800644317,24.743695404964228,False,False,270.4479260971939
req_814258,2026-05-01 15:46:35.826584,/api/inventory,POST,new,user_240,simple,2,6,True,0.71,2,0,24.88983385927664,30.416801190305645,False,False,355.06267356386536
req_641358,2026-05-01 15:48:26.826584,/api/payments,PUT,internal,user_122,simple,2,8,True,0.25,3,0,108.0345127545232,167.7217690233559,False,False,654.2249434786916
req_642764,2026-05-01 15:56:01.826584,/api/inventory,PUT,internal,user_33,simple,2,8,False,0.2,2,0,20.319392334875356,26.070202573726963,False,False,242.95375783709792
req_519892,2026-05-01 15:57:42.826584,/api/payments,PUT,bot,user_248,simple,2,8,False,0.51,3,0,104.98901891860145,174.86203230491958,False,False,1160.7057122769331
req_113524,2026-05-01 16:03:48.826584,/api/search,POST,internal,user_641,simple,2,2,True,0.8,2,0,30.85680323633401,55.731074038453244,False,False,500.99503763675625
req_758908,2026-05-01 16:04:39.826584,/api/orders,GET,regular,user_390,complex,14,174,True,0.83,3,0,30.70637060068769,79.24567424942745,False,False,955.5764324260483
req_368602,2026-05-01 16:13:11.826584,/api/search,POST,bot,user_405,medium,4,20,False,0.6,2,0,30.602132676520558,52.131171142713825,False,False,1240.4551412313
req_367093,2026-05-01 16:14:13.826584,/api/orders,GET,regular,user_117,medium,8,29,True,0.8,3,2,75.0,161.4965040466248,True,False,3402.8932500768333
req_566746,2026-05-01 16:17:48.826584,/api/inventory,POST,bot,user_250,simple,1,7,False,0.25,2,0,24.685074734273886,31.292692121098334,False,False,460.82061729597626
req_324218,2026-05-01 16:19:31.826584,/api/payments,POST,new,user_440,simple,2,9,True,0.54,3,1,135.0,222.97042811884938,True,False,1412.4401497078918
req_468435,2026-05-01 16:19:55.826584,/api/orders,PUT,vip,user_769,complex,13,171,False,0.53,3,0,37.898065676315646,79.87493349567706,False,False,877.3491577541911
req_933397,2026-05-01 16:21:07.826584,/api/products,PUT,bot,user_651,complex,14,179,False,0.81,2,0,30.428757634489727,51.76584917076343,False,False,584.2242982309754
req_545670,2026-05-01 16:23:00.826584,/api/inventory,PUT,new,user_696,simple,3,9,False,0.74,2,0,27.358815726257085,33.936120024727856,False,False,364.73062846853384
req_632893,2026-05-01 16:23:06.826584,/api/reports,PUT,bot,user_196,complex,13,78,False,0.5,3,1,150.0,205.80718397891832,True,False,6479.848423849455
req_209645,2026-05-01 16:25:14.826584,/api/inventory,DELETE,new,user_269,medium,6,40,False,0.45,2,1,27.26033810758152,42.26033810758152,True,False,762.0111115451061
req_111655,2026-05-01 16:27:23.826584,/api/search,PUT,vip,user_573,simple,1,10,False,0.68,2,0,36.05049581965795,56.426775184424045,False,False,547.0596119046063
req_189861,2026-05-01 16:28:54.826584,/api/reports,GET,regular,user_12,medium,7,21,True,0.56,3,0,41.47071677704161,86.13608245609106,False,False,2052.300040384609
req_709951,2026-05-01 16:31:47.826584,/api/users,POST,bot,user_638,medium,7,42,False,0.24,2,1,75.0,80.08580709992339,True,False,882.8997037555257
req_281465,2026-05-01 16:33:00.826584,/api/auth/login,DELETE,new,user_970,complex,10,102,False,0.56,2,1,75.0,111.18075014721748,True,False,1921.2831402513434
req_446652,2026-05-01 16:35:18.826584,/api/payments,PUT,regular,user_13,medium,7,30,True,0.21,3,0,96.83692311255359,175.67993870813444,False,False,1193.8382637204566
req_638918,2026-05-01 16:39:46.826584,/api/orders,PUT,vip,user_311,simple,2,6,False,0.58,3,0,32.5050842618408,73.5592068550057,False,False,413.7763652533933
req_867092,2026-05-01 16:42:35.826584,/api/orders,PUT,bot,user_265,complex,11,148,False,0.35,3,0,27.76086729559116,64.4452687932489,False,False,1345.0090664654663
req_997324,2026-05-01 16:46:58.826584,/api/users,POST,regular,user_95,simple,1,2,False,0.41,2,0,20.15758176519052,23.77581257662282,False,False,282.17681475497454
req_509243,2026-05-01 16:48:39.826584,/api/search,GET,vip,user_828,medium,6,46,False,0.72,2,1,60.0,82.6331632578458,True,False,1263.3249585266449
req_187381,2026-05-01 16:49:12.826584,/api/users,PUT,regular,user_350,complex,11,53,False,0.68,2,0,27.533845362522374,31.29468344522641,False,False,588.6028846820794
req_872609,2026-05-01 16:49:34.826584,/api/payments,DELETE,bot,user_892,simple,1,10,False,0.48,3,0,104.71040578413323,150.64041938730352,False,False,1086.5149179380112
req_310407,2026-05-01 16:51:34.826584,/api/products,GET,new,user_695,simple,1,9,False,0.75,2,0,27.205479641535227,42.62111179972285,False,False,234.5703689573499
req_573269,2026-05-01 16:52:01.826584,/api/reports,POST,vip,user_934,medium,4,18,False,0.87,3,0,36.35177570194681,77.91198418859139,False,False,1799.2744213947167
req_737167,2026-05-01 17:00:41.826584,/api/users,GET,vip,user_368,simple,3,9,True,0.65,2,1,20.494483565078216,35.49448356507821,True,False,1123.559388521953
req_414865,2026-05-01 17:04:46.826584,/api/auth/login,PUT,internal,user_1,complex,14,54,False,0.32,2,2,120.0,195.0,True,False,1531.3972460377697
req_442199,2026-05-01 17:06:40.826584,/api/search,GET,new,user_580,simple,2,6,False,0.7,2,0,28.072983605737907,44.14085165885889,False,False,652.8720143336237
req_447779,2026-05-01 17:12:53.826584,/api/payments,POST,bot,user_204,medium,6,22,False,0.38,3,0,68.22993727183655,123.77715246526577,False,False,1554.6222881224694
req_320651,2026-05-01 17:15:25.826584,/api/users,GET,internal,user_972,complex,10,91,False,0.89,2,1,75.0,77.856033168378,True,False,742.5316937195201
req_104035,2026-05-01 17:18:52.826584,/api/users,PUT,new,user_330,simple,3,6,False,0.43,2,0,26.64553389355065,32.89837652797813,False,False,293.93388420197516
req_290734,2026-05-01 17:26:35.826584,/api/search,PUT,regular,user_138,complex,9,71,False,0.22,2,0,35.3559679040236,51.204955151893586,False,False,1300.4734743346942
req_396992,2026-05-01 17:28:22.826584,/api/inventory,PUT,new,user_450,complex,12,65,False,0.37,2,0,27.21292421500865,32.26489594172415,False,False,745.3277917129195
req_913189,2026-05-01 17:29:55.826584,/api/inventory,GET,vip,user_85,complex,14,174,True,0.6,2,0,22.83779359026607,27.574859214992514,False,False,1842.7055101055103
req_872790,2026-05-01 17:30:30.826584,/api/users,PUT,internal,user_882,simple,1,8,True,0.79,2,0,27.78299207036563,33.51474628137599,False,False,219.33554349714862
req_183083,2026-05-01 17:32:27.826584,/api/orders,POST,internal,user_778,simple,1,8,True,0.68,3,0,34.64084312913958,71.12800820647571,False,False,384.75455112510923
req_537435,2026-05-01 17:33:14.826584,/api/reports,DELETE,vip,user_492,medium,6,32,False,0.34,3,1,105.0,173.83653400712487,True,False,2870.964023059724
req_444261,2026-05-01 17:34:54.826584,/api/auth/login,GET,internal,user_794,simple,3,4,True,0.62,2,0,39.149426790368985,55.50787697068652,False,False,446.21121771265746
req_718315,2026-05-01 17:36:47.826584,/api/orders,DELETE,internal,user_64,medium,6,48,False,0.47,3,0,39.82721665096505,92.9956962017003,False,False,552.092147110302
req_859625,2026-05-01 17:45:13.826584,/api/payments,POST,vip,user_440,simple,3,9,False,0.9,3,1,135.0,234.09547189579263,True,False,1223.6907287531046
req_219853,2026-05-01 17:50:30.826584,/api/orders,POST,new,user_459,complex,13,77,True,0.82,3,0,31.63372959482013,73.05355517510378,False,False,1050.7651459386345
req_298275,2026-05-01 17:52:39.826584,/api/search,POST,bot,user_419,medium,5,23,False,0.62,2,1,200.0,231.07773363579153,False,True,3675.847286498527
req_744077,2026-05-01 17:55:15.826584,/api/reports,GET,regular,user_700,medium,5,24,False,0.63,3,0,56.952692270887475,102.62282749135152,False,False,2053.9062287541997
req_969903,2026-05-01 17:56:31.826584,/api/search,GET,regular,user_690,simple,3,1,True,0.68,2,0,40.5990708019658,64.75349507880107,False,False,633.6166618327959
req_690566,2026-05-01 17:56:40.826584,/api/inventory,PUT,internal,user_544,complex,15,111,False,0.48,2,0,18.767902304357676,23.932476922096413,False,False,519.1071484805067
