id,age,education,experience,gender,treatment,income
1,32,3,8,1,1,45000
2,45,4,15,0,0,52000
3,28,2,5,1,1,38000
4,50,4,20,0,0,65000
5,35,3,10,1,1,48000
6,42,4,18,0,0,58000
7,30,2,6,1,1,42000
8,38,3,12,0,0,51000
9,48,4,22,1,0,62000
10,33,3,9,0,1,44000
11,36,3,11,1,1,49000
12,40,4,16,0,0,55000
13,29,2,4,1,1,41000
14,52,4,24,0,0,68000
15,34,3,7,1,1,46000
16,44,4,19,0,0,60000
17,31,2,5,1,1,43000
18,39,3,13,0,0,53000
19,46,4,21,1,0,61000
20,37,3,10,0,1,47000
21,33,3,8,1,1,45500
22,47,4,17,0,0,59000
23,27,2,3,1,1,40000
24,51,4,23,0,0,67000
25,35,3,9,1,1,47500
26,43,4,18,0,0,57000
27,30,2,6,1,1,42500
28,41,3,14,0,0,54000
29,49,4,22,1,0,64000
30,36,3,11,0,1,48500
31,34,3,7,1,1,44000
32,45,4,16,0,0,56000
33,28,2,4,1,1,39500
34,53,4,25,0,0,69000
35,37,3,10,1,1,48000
36,42,4,17,0,0,58000
37,31,2,5,1,1,41500
38,40,3,13,0,0,52500
39,48,4,21,1,0,63000
40,35,3,9,0,1,46500
41,32,3,7,1,1,44500
42,46,4,15,0,0,57500
43,26,2,2,1,1,39000
44,50,4,24,0,0,66000
45,38,3,11,1,1,49500
46,44,4,19,0,0,59500
47,29,2,5,1,1,42000
48,41,3,14,0,0,53500
49,47,4,23,1,0,62500
50,34,3,8,0,1,45000
