车型,发动机类型,燃油类型,变速箱类型,排量(L),整备质量(kg),马力(hp),路况类型,交通状况,天气状况,环境温度(℃),驾驶风格,平均车速(km/h),车速波动,加速强度,刹车频率,定速巡航占比,海拔变化(m),胎压(bar),空调使用,乘客人数,行李重量(kg),纵向加速度均值(m/s²),纵向加速度标准差(m/s²),横向加速度均值(m/s²),横向加速度标准差(m/s²),急加速事件次数,急刹车事件次数,急变道事件次数,加减速切换频率(次/小时),怠速时间占比,大油门持续占比,加速度变化率均值(m/s³),百公里油耗(L)
轿车,自然吸气,柴油,手动,2.1,2436.0,320.0,高速公路,缓行,雨天,25.4,激进,79.9,10.5,0.22,0.14,0.69,301.0,2.0,0,5,194.0,3.072,0.428,0.556,0.239,3,1,1,14.8,0.148,0.036,1.607,21.47
皮卡,自然吸气,汽油,手动,2.8,1422.0,120.0,城市道路,缓行,雨天,12.0,激进,114.9,38.8,0.75,0.31,0.08,342.0,2.1,0,5,99.0,0.558,1.244,0.716,0.627,3,6,0,5.5,0.079,0.07,1.061,25.0
皮卡,涡轮增压,柴油,双离合,3.5,1664.0,184.0,乡村公路,畅通,雨天,-0.1,激进,74.3,9.9,0.74,0.15,0.79,386.0,2.0,1,3,163.0,2.677,1.033,1.777,0.15,1,3,1,20.9,0.126,0.16,1.512,25.0
SUV,涡轮增压,柴油,CVT,3.3,1930.0,331.0,城市道路,畅通,雾天,21.8,温和,69.4,23.3,0.44,0.12,0.09,16.0,2.3,1,5,102.0,1.103,0.157,0.343,0.234,0,0,0,2.7,0.339,0.048,0.625,22.24
MPV,自然吸气,柴油,CVT,3.6,2245.0,156.0,城市道路,严重拥堵,晴天,1.4,激进,109.3,23.9,0.75,0.73,0.25,55.0,2.4,1,5,164.0,3.161,0.188,1.237,0.428,1,2,2,26.4,0.174,0.045,1.569,25.0
SUV,自然吸气,汽油,手动,1.1,1992.0,251.0,高速公路,拥堵,晴天,39.3,温和,25.1,14.8,0.83,0.27,0.12,245.0,2.2,1,3,134.0,0.95,0.153,0.562,0.129,1,0,0,7.8,0.156,0.011,0.181,20.52
皮卡,混动,汽油,CVT,2.8,2081.0,105.0,乡村公路,拥堵,雨天,36.8,激进,71.2,12.9,0.62,0.22,0.55,193.0,2.1,0,5,68.0,0.807,1.262,1.996,0.299,4,0,3,12.4,0.139,0.161,2.446,25.0
SUV,涡轮增压,汽油,自动,1.3,1410.0,370.0,山区公路,严重拥堵,雪天,17.4,激进,80.6,5.3,0.18,0.56,0.0,80.0,2.7,1,1,130.0,1.156,1.013,0.671,0.354,5,1,0,26.4,0.089,0.161,1.87,25.0
SUV,自然吸气,柴油,CVT,3.4,1853.0,273.0,山区公路,拥堵,晴天,-1.1,温和,69.3,11.8,0.68,0.3,0.02,323.0,2.9,0,4,191.0,1.111,0.204,0.071,0.281,2,1,0,7.9,0.155,0.01,0.568,25.0
皮卡,插电混动,汽油,CVT,2.7,1326.0,285.0,乡村公路,缓行,雨天,25.1,激进,119.0,9.9,0.51,0.71,0.59,349.0,2.4,1,5,59.0,2.999,1.128,1.975,0.83,6,1,0,17.5,0.035,0.084,1.671,21.71
