restaurant_id,name,lat,lon,avg_prep_time,food_type,rating,peak_hour_capacity,is_new_restaurant,historical_on_time_rate,total_orders_completed
R001,餐厅1,39.91910142459034,116.40325207096485,28,西餐,4.2,9,0,0.89,1738
R002,餐厅2,39.95157638446523,116.43042304187458,11,日料,3.8,16,1,0.82,47
R003,餐厅3,39.90486665479836,116.3945662125919,25,烧烤,3.6,18,0,0.76,799
R004,餐厅4,39.90622584614064,116.3646575544136,16,火锅,4.2,6,0,0.76,1942
R005,餐厅5,39.88619238449682,116.4358231946314,21,火锅,4.7,7,1,0.77,80
R006,餐厅6,39.897316486385044,116.41908046739768,31,中餐,4.4,17,0,0.82,1513
R007,餐厅7,39.926353997399865,116.4125410484357,30,火锅,3.9,9,1,0.71,49
R008,餐厅8,39.91802448900446,116.40997770414891,24,火锅,3.6,11,0,0.81,1280
R009,餐厅9,39.84792969683381,116.3663965358334,26,西餐,4.7,15,0,0.75,1622
R010,餐厅10,39.89798502329687,116.38869567815044,10,烧烤,4.0,7,1,0.79,43
R011,餐厅11,39.85697534139168,116.42653858829674,12,快餐,4.6,11,0,0.84,1585
R012,餐厅12,39.9031252188267,116.45433930967441,22,西餐,3.5,11,0,0.85,1677
R013,餐厅13,39.98320584661837,116.37664727333566,22,西餐,3.8,17,0,0.78,330
R014,餐厅14,39.89783515734865,116.39459393617881,30,烧烤,4.2,16,1,0.82,66
R015,餐厅15,39.945355864006494,116.41266659881865,10,快餐,4.5,13,0,0.82,1348
R016,餐厅16,39.91308360831194,116.4152316581654,10,西餐,3.9,12,1,0.76,46
R017,餐厅17,39.899361428650025,116.41952152570443,26,中餐,4.9,18,0,0.91,1236
R018,餐厅18,39.93680181069118,116.43754960642107,11,日料,3.6,9,1,0.74,11
R019,餐厅19,39.94131048218809,116.36460563345823,15,日料,3.6,12,0,0.87,829
R020,餐厅20,39.927930958411295,116.38011837635615,31,西餐,4.7,5,0,0.9,297
R021,餐厅21,39.90504298390045,116.37148738809985,13,西餐,4.6,19,0,0.95,863
R022,餐厅22,39.92367260197888,116.37071379389974,17,快餐,4.5,13,1,0.76,91
R023,餐厅23,39.89349764922696,116.42408365395602,29,日料,3.9,5,0,0.94,1116
R024,餐厅24,39.91199648382746,116.43085468615331,25,西餐,4.8,10,0,0.83,915
R025,餐厅25,39.92272922536534,116.4439121239094,12,烧烤,4.9,13,1,0.83,93
R026,餐厅26,39.960173235334345,116.42161498762735,13,快餐,4.2,8,0,0.8,260
R027,餐厅27,39.94449504636891,116.38536357050157,21,西餐,4.1,11,0,0.82,787
R028,餐厅28,39.92038827604751,116.36245113087884,11,火锅,4.3,16,0,0.86,1899
R029,餐厅29,39.929703617463716,116.41923019854394,12,快餐,3.6,16,0,0.86,1639
R030,餐厅30,39.89749611644023,116.42882001482276,12,日料,4.8,19,1,0.76,62
R031,餐厅31,39.875714428644635,116.38949308005311,34,中餐,4.9,14,0,0.86,117
R032,餐厅32,39.923253376527065,116.37499397389878,11,中餐,4.6,5,0,0.81,589
R033,餐厅33,39.91675918407518,116.3855546225191,12,中餐,4.8,17,0,0.82,637
R034,餐厅34,39.86870203135637,116.42224986962574,24,日料,4.4,11,1,0.71,96
R035,餐厅35,39.868196047868096,116.44344141332652,31,快餐,3.6,10,1,0.83,67
R036,餐厅36,39.91483258755359,116.35099062234642,21,日料,4.4,8,0,0.94,1695
R037,餐厅37,39.892457945637545,116.42054067792265,29,火锅,5.0,14,0,0.91,1035
R038,餐厅38,39.93564059231985,116.38854290757573,14,中餐,4.9,11,0,0.85,1469
R039,餐厅39,39.95763873231079,116.38707752996855,34,火锅,3.9,17,1,0.77,57
R040,餐厅40,39.91551888796381,116.45694052959438,25,西餐,4.6,13,0,0.85,1199
R041,餐厅41,39.883799869976464,116.39949782465398,21,中餐,4.6,9,1,0.85,78
R042,餐厅42,39.865351725765606,116.4042464448576,31,火锅,4.8,8,0,0.84,621
R043,餐厅43,39.94743819867199,116.36432413546461,22,日料,4.4,11,0,0.95,1448
R044,餐厅44,39.93937307347177,116.4233420003288,10,火锅,4.3,9,0,0.88,1668
R045,餐厅45,39.93831052255901,116.42080670434322,22,日料,3.7,6,0,0.8,384
R046,餐厅46,39.90750898735901,116.3944992384245,19,中餐,4.0,7,0,0.9,704
R047,餐厅47,39.88553288505282,116.39673534077251,33,日料,4.1,17,0,0.89,512
R048,餐厅48,39.87933014967234,116.39059456879409,12,日料,4.1,11,0,0.94,1812
R049,餐厅49,39.93551026936107,116.41426935614565,22,快餐,3.9,18,0,0.8,1818
R050,餐厅50,39.9045643952722,116.43532802251922,28,快餐,3.6,17,0,0.82,798
