rider_id,name,lat,lon,avg_speed,experience,rating,on_time_rate,status,current_orders
Rider001,骑手1,39.91716665409954,116.40219427782529,23,19,4.2,0.86,空闲,0
Rider002,骑手2,39.94914167126766,116.49312820752455,24,23,4.7,0.86,配送中,2
Rider003,骑手3,39.97674666303516,116.42358331580469,34,12,4.5,0.96,配送中,1
Rider004,骑手4,39.8938632905673,116.45473929280564,27,9,4.7,0.94,空闲,0
Rider005,骑手5,39.846276626340114,116.35110144902494,23,17,4.9,0.98,配送中,2
Rider006,骑手6,39.8754622311499,116.39886211393153,32,27,3.9,0.89,空闲,0
Rider007,骑手7,39.8812319420477,116.34772102698165,33,20,3.7,0.87,配送中,2
Rider008,骑手8,39.92497386056965,116.4687095565201,33,25,4.8,0.88,配送中,1
Rider009,骑手9,39.91316369927242,116.40790369603127,24,35,4.5,0.86,空闲,0
Rider010,骑手10,39.876127462298896,116.36871555781596,20,3,4.9,0.86,空闲,0
Rider011,骑手11,39.99179211732871,116.37506806858579,27,28,4.5,0.9,空闲,0
Rider012,骑手12,39.87227059127874,116.35388620704767,23,27,4.5,0.92,空闲,0
Rider013,骑手13,39.92705390041307,116.44622095280053,32,13,4.9,0.96,配送中,2
Rider014,骑手14,39.93387852066118,116.46646634501718,21,10,4.9,0.96,空闲,0
Rider015,骑手15,39.90125555536833,116.39611115244051,20,18,5.0,0.87,空闲,0
Rider016,骑手16,39.917836887942364,116.40394345972673,30,13,3.6,0.85,空闲,0
Rider017,骑手17,39.9178982767203,116.48386118426038,24,3,4.3,0.95,配送中,1
Rider018,骑手18,39.88619738114083,116.43231399729389,33,9,3.7,0.97,配送中,1
Rider019,骑手19,39.93266459512356,116.36241431632648,21,28,3.9,0.85,空闲,0
Rider020,骑手20,39.95521852994615,116.403737357574,21,12,4.7,0.98,空闲,0
Rider021,骑手21,39.920748511998084,116.46108354017223,34,23,4.6,0.93,配送中,1
Rider022,骑手22,39.88685398692913,116.39370765445501,31,34,4.0,0.93,空闲,0
Rider023,骑手23,39.93964254240985,116.40191688715832,23,33,4.7,0.9,配送中,1
Rider024,骑手24,39.836064702425794,116.40517809204412,27,5,5.0,0.91,空闲,0
Rider025,骑手25,39.85202121997981,116.4341869019532,22,23,3.7,0.87,空闲,0
Rider026,骑手26,39.86014992380612,116.42690693099692,27,25,4.8,0.91,配送中,1
Rider027,骑手27,39.886332661172375,116.38837314608125,22,21,3.8,0.89,空闲,0
Rider028,骑手28,39.8468364452307,116.39973868704347,21,14,4.0,0.89,空闲,0
Rider029,骑手29,39.9827701186798,116.39951113316586,27,30,3.7,0.9,空闲,0
Rider030,骑手30,39.911325137030445,116.40882541839402,34,22,3.9,0.95,空闲,0
