date,hour,is_weekend,traffic_index,traffic_impact_factor
2024-01-01,0,False,0.26,1.13
2024-01-01,1,False,0.32,1.16
2024-01-01,2,False,0.41,1.2
2024-01-01,3,False,0.2,1.1
2024-01-01,4,False,0.31,1.16
2024-01-01,5,False,0.23,1.11
2024-01-01,6,False,0.42,1.21
2024-01-01,7,False,0.75,1.37
2024-01-01,8,False,0.84,1.42
2024-01-01,9,False,0.94,1.47
2024-01-01,10,False,0.46,1.23
2024-01-01,11,False,0.79,1.4
2024-01-01,12,False,0.74,1.37
2024-01-01,13,False,0.99,1.49
2024-01-01,14,False,0.16,1.08
2024-01-01,15,False,0.08,1.04
2024-01-01,16,False,0.34,1.17
2024-01-01,17,False,0.8,1.4
2024-01-01,18,False,0.75,1.37
2024-01-01,19,False,0.92,1.46
2024-01-01,20,False,0.32,1.16
2024-01-01,21,False,0.44,1.22
2024-01-01,22,False,0.37,1.19
2024-01-01,23,False,0.39,1.19
2024-01-02,0,False,0.37,1.18
2024-01-02,1,False,0.29,1.15
2024-01-02,2,False,0.48,1.24
2024-01-02,3,False,0.19,1.1
2024-01-02,4,False,0.15,1.07
2024-01-02,5,False,0.23,1.12
2024-01-02,6,False,0.3,1.15
2024-01-02,7,False,0.92,1.46
2024-01-02,8,False,0.88,1.44
2024-01-02,9,False,0.94,1.47
2024-01-02,10,False,0.17,1.09
2024-01-02,11,False,0.94,1.47
2024-01-02,12,False,0.79,1.4
2024-01-02,13,False,0.91,1.46
2024-01-02,14,False,0.33,1.17
2024-01-02,15,False,0.35,1.17
2024-01-02,16,False,0.36,1.18
2024-01-02,17,False,0.89,1.45
2024-01-02,18,False,0.91,1.46
2024-01-02,19,False,0.98,1.49
2024-01-02,20,False,0.32,1.16
2024-01-02,21,False,0.57,1.29
2024-01-02,22,False,0.49,1.25
2024-01-02,23,False,0.44,1.22
2024-01-03,0,False,0.23,1.12
2024-01-03,1,False,0.48,1.24
2024-01-03,2,False,0.3,1.15
2024-01-03,3,False,0.16,1.08
2024-01-03,4,False,0.31,1.16
2024-01-03,5,False,0.23,1.12
2024-01-03,6,False,0.38,1.19
2024-01-03,7,False,0.83,1.42
2024-01-03,8,False,0.86,1.43
2024-01-03,9,False,0.71,1.36
2024-01-03,10,False,0.25,1.13
2024-01-03,11,False,0.56,1.28
2024-01-03,12,False,0.64,1.32
2024-01-03,13,False,0.88,1.44
2024-01-03,14,False,0.38,1.19
2024-01-03,15,False,0.34,1.17
2024-01-03,16,False,0.2,1.1
2024-01-03,17,False,0.85,1.42
2024-01-03,18,False,0.85,1.42
2024-01-03,19,False,0.73,1.37
2024-01-03,20,False,0.45,1.23
2024-01-03,21,False,0.59,1.29
2024-01-03,22,False,0.48,1.24
2024-01-03,23,False,0.3,1.15
2024-01-04,0,False,0.32,1.16
2024-01-04,1,False,0.1,1.05
2024-01-04,2,False,0.28,1.14
2024-01-04,3,False,0.23,1.12
2024-01-04,4,False,0.2,1.1
2024-01-04,5,False,0.27,1.14
2024-01-04,6,False,0.48,1.24
2024-01-04,7,False,0.96,1.48
2024-01-04,8,False,0.84,1.42
2024-01-04,9,False,0.96,1.48
2024-01-04,10,False,0.44,1.22
2024-01-04,11,False,0.89,1.45
2024-01-04,12,False,0.81,1.4
2024-01-04,13,False,0.74,1.37
2024-01-04,14,False,0.37,1.18
2024-01-04,15,False,0.34,1.17
2024-01-04,16,False,0.39,1.19
2024-01-04,17,False,0.91,1.46
2024-01-04,18,False,0.95,1.48
2024-01-04,19,False,0.8,1.4
2024-01-04,20,False,0.43,1.22
2024-01-04,21,False,0.52,1.26
2024-01-04,22,False,0.71,1.35
2024-01-04,23,False,0.23,1.12
2024-01-05,0,False,0.47,1.24
2024-01-05,1,False,0.32,1.16
2024-01-05,2,False,0.23,1.12
2024-01-05,3,False,0.25,1.13
2024-01-05,4,False,0.27,1.13
2024-01-05,5,False,0.34,1.17
2024-01-05,6,False,0.35,1.18
2024-01-05,7,False,0.84,1.42
2024-01-05,8,False,0.9,1.45
2024-01-05,9,False,1.0,1.5
2024-01-05,10,False,0.47,1.24
2024-01-05,11,False,0.84,1.42
