date,hour,temperature,wind_speed,weather_condition,weather_impact_factor
2024-01-01,0,44.6,2.1,多云,1.0
2024-01-01,1,29.0,10.7,晴天,1.0
2024-01-01,2,13.9,0.4,晴天,1.0
2024-01-01,3,8.6,4.2,晴天,1.0
2024-01-01,4,33.5,15.8,多云,1.0
2024-01-01,5,27.1,1.7,多云,1.0
2024-01-01,6,32.2,8.6,晴天,1.0
2024-01-01,7,24.3,5.7,晴天,1.0
2024-01-01,8,27.4,7.1,雪,1.4
2024-01-01,9,35.3,12.1,晴天,1.0
2024-01-01,10,14.8,3.7,晴天,1.0
2024-01-01,11,16.1,3.5,大雨,1.35
2024-01-01,12,20.4,8.2,雪,1.4
2024-01-01,13,13.4,2.2,晴天,1.0
2024-01-01,14,15.4,3.4,多云,1.0
2024-01-01,15,26.0,18.6,多云,1.0
2024-01-01,16,6.6,15.4,晴天,1.0
2024-01-01,17,24.3,6.5,多云,1.0
2024-01-01,18,7.0,2.3,多云,1.0
2024-01-01,19,20.4,5.8,多云,1.0
2024-01-01,20,19.5,10.7,晴天,1.0
2024-01-01,21,10.3,6.7,晴天,1.0
2024-01-01,22,28.1,5.1,多云,1.0
2024-01-01,23,15.4,15.2,多云,1.0
2024-01-02,0,0.2,7.0,雾,1.25
2024-01-02,1,13.6,16.6,雾,1.25
2024-01-02,2,23.0,18.8,晴天,1.0
2024-01-02,3,15.2,1.3,小雨,1.15
2024-01-02,4,29.3,2.8,小雨,1.15
2024-01-02,5,22.0,4.0,晴天,1.0
2024-01-02,6,23.2,13.3,多云,1.0
2024-01-02,7,16.6,7.2,大雨,1.35
2024-01-02,8,29.6,8.8,晴天,1.0
2024-01-02,9,16.7,9.3,晴天,1.0
2024-01-02,10,20.1,4.6,大雨,1.35
2024-01-02,11,33.4,7.7,多云,1.0
2024-01-02,12,21.9,2.3,雾,1.25
2024-01-02,13,26.2,12.6,晴天,1.0
2024-01-02,14,22.7,12.4,多云,1.0
2024-01-02,15,16.7,17.9,小雨,1.15
2024-01-02,16,16.3,5.0,小雨,1.15
2024-01-02,17,13.2,0.7,多云,1.0
2024-01-02,18,23.8,6.8,小雨,1.15
2024-01-02,19,22.7,2.2,小雨,1.15
2024-01-02,20,17.8,15.9,晴天,1.0
2024-01-02,21,12.2,4.6,小雨,1.15
2024-01-02,22,27.0,13.9,多云,1.0
2024-01-02,23,30.8,5.0,晴天,1.0
2024-01-03,0,5.8,9.2,雾,1.25
2024-01-03,1,32.0,3.1,多云,1.0
2024-01-03,2,39.6,0.4,大雨,1.35
2024-01-03,3,21.0,18.6,多云,1.0
2024-01-03,4,23.8,14.1,晴天,1.0
2024-01-03,5,21.8,11.5,多云,1.0
2024-01-03,6,32.7,18.7,雾,1.25
2024-01-03,7,15.9,9.0,晴天,1.0
2024-01-03,8,20.4,11.8,晴天,1.0
2024-01-03,9,28.8,1.1,晴天,1.0
2024-01-03,10,11.9,10.7,雾,1.25
2024-01-03,11,6.8,6.9,晴天,1.0
2024-01-03,12,17.3,4.5,多云,1.0
2024-01-03,13,33.4,2.8,晴天,1.0
2024-01-03,14,-1.6,18.3,晴天,1.0
2024-01-03,15,19.6,11.6,多云,1.0
2024-01-03,16,17.8,1.7,雪,1.4
2024-01-03,17,11.1,10.0,多云,1.0
2024-01-03,18,20.1,4.2,大雨,1.35
2024-01-03,19,19.8,4.1,晴天,1.0
2024-01-03,20,19.7,11.3,晴天,1.0
2024-01-03,21,15.7,15.5,多云,1.0
2024-01-03,22,-1.2,8.0,多云,1.0
2024-01-03,23,28.7,3.1,晴天,1.0
2024-01-04,0,8.7,12.9,多云,1.0
