id,longitude,latitude,value,category,timestamp
0,116.407400,39.904200,50.0,A,2026-05-13T00:00:00.000Z
1,116.417400,39.914200,75.5,B,2026-05-12T12:30:00.000Z
2,116.397400,39.894200,30.2,C,2026-05-13T08:15:00.000Z
3,116.427400,39.924200,88.9,D,2026-05-11T18:45:00.000Z
4,116.387400,39.884200,12.1,A,2026-05-13T14:20:00.000Z
5,116.437400,39.934200,95.3,B,2026-05-12T06:00:00.000Z
6,116.377400,39.874200,45.7,C,2026-05-13T04:30:00.000Z
7,116.447400,39.944200,67.8,D,2026-05-10T22:15:00.000Z
8,116.367400,39.864200,23.4,A,2026-05-13T10:45:00.000Z
9,116.457400,39.954200,81.2,B,2026-05-12T20:30:00.000Z
